page,num_users,page_views,year ,url,pkg_exists
view/urn:uuid:ef1feed0-9057-4afb-963e-03769a0b3e85,60,175,2016,https://arcticdata.io/catalog/view/urn:uuid:ef1feed0-9057-4afb-963e-03769a0b3e85,
viewdoi105065D6JH3J7Z,36,65,2016,https://arcticdata.io/catalog/view/doi:10.5065/D6JH3J7Z,
viewdoi105065D6N014HK,35,56,2016,https://arcticdata.io/catalog/view/doi:10.5065/D6N014HK,
viewurnuuid3fb067aba8c64297863f511f1d39233b,32,133,2016,https://arcticdata.io/catalog/view/urn:uuid:3fb067ab-a8c6-4297-863f-511f1d39233b,
viewurnuuid00edeb96744441a89e7359ac2893a497,32,131,2016,https://arcticdata.io/catalog/view/urn:uuid:00edeb96-7444-41a8-9e73-59ac2893a497,
viewdoi1018739A23D20,32,91,2016,https://arcticdata.io/catalog/view/doi:10.18739/A23D20,
viewdoi1018739A2K89M,29,97,2016,https://arcticdata.io/catalog/view/doi:10.18739/A2K89M,
viewarcticdata15801,28,66,2016,https://arcticdata.io/catalog/view/arctic-data.1580.1,
viewurnuuidb9e1ee8239d24219b08d0403d409e48d,27,91,2016,https://arcticdata.io/catalog/view/urn:uuid:b9e1ee82-39d2-4219-b08d-0403d409e48d,
viewarcticdata779215,26,50,2016,https://arcticdata.io/catalog/view/arctic-data.7792.15,
viewurnuuid78578d5ef29a4087a708ff31d3e5fad3,25,48,2016,https://arcticdata.io/catalog/view/urn:uuid:78578d5e-f29a-4087-a708-ff31d3e5fad3,
viewarcticdata779219,23,50,2016,https://arcticdata.io/catalog/view/arctic-data.7792.19,
viewurnuuidaef48b0c756c4339b8f22a3d8ea08482,23,116,2016,https://arcticdata.io/catalog/view/urn:uuid:aef48b0c-756c-4339-b8f2-2a3d8ea08482,
viewdoi1018739A24H1Z,23,50,2016,https://arcticdata.io/catalog/view/doi:10.18739/A24H1Z,
viewarcticdata93611,23,51,2016,https://arcticdata.io/catalog/view/arctic-data.9361.1,
