word1,word2,word3,n,unique_ids
core,program,station,45,9
ble,lter,core,41,9
lter,core,program,41,9
analyzed,pattern,edax,33,1
detector,angular,misfit,33,1
edax,tsl,parameter,33,1
forward,scatter,detector,33,1
identified,diffraction,bands,33,1
pattern,edax,tsl,33,1
phase,scans,signal,33,1
scans,signal,recorded,33,1
scatter,detector,angular,33,1
single,phase,scans,33,1
internal,grain,identification,26,1
prior,quantity,raw,25,1
1.0,northern,hemisphere,24,2
decimal,degrees,note,24,9
ease,grid,1.0,24,2
field,conditions,sampling,24,9
grid,1.0,northern,24,2
hemisphere,epsg,3408,24,2
model,grid,cell,24,2
northern,hemisphere,epsg,24,2
10.1029,2010jf001934,andrews,22,1
2001,doi,10.1029,22,1
2014,doi,10.1038,22,1
al,2001,doi,22,1
al,2014,doi,22,1
al,2018,jgr,22,1
doi,10.1029,2010jf001934,22,1
doi,10.1038,nature13796,22,1
horizontal,velocity,processing,22,1
200m,approximate,error,20,1
cell,coordinates,based,20,2
grid,cell,coordinates,20,2
pmol,mol,1,20,1
prior,quantity,bromine,20,1
quantity,bromine,monoxide,20,1
quantity,raw,measurement,20,1
vertical,column,density,20,1
yyyy,mm,dd,19,11
1,dry,soil,18,1
13c,notation,measured,18,7
carbon,isotope,composition,18,7
delta,13c,notation,18,7
permil,delta,13c,18,7
picarro,cavity,ring,18,7
relevant,text,strings,18,1
spectrometer,crds,g220l,18,7
stable,carbon,isotope,18,7
average,stable,carbon,17,7
program,station,code,17,9
strings,internal,grain,17,1
text,strings,internal,17,1
topographic,survey,instruments,16,2
0,200m,approximate,15,1
ethane,mixing,ratio,15,1
ice,core,sample,15,1
meters,bottom,depth,13,4
river,lagoon,ocean,13,10
ble,lter's,core,12,9
decimal,degrees,longitude,12,5
epsg,3408,longitude,12,2
habitat,type,river,12,9
lter's,core,program,12,9
type,river,lagoon,12,9
validy,8,validy,12,1
15,minute,position,11,1
6,hour,difference,11,1
horizontal,ice,surface,11,1
ice,surface,motion,11,1
ice,velocity,calculation,11,1
moving,6,hour,11,1
station,habitat,type,11,8
sy10,sy14,standard,11,1
sy14,standard,deviation,11,1
velocity,calculation,determined,11,1
361nm,approximate,error,10,1
acetylene,mixing,ratio,10,1
aerosol,optical,thickness,10,1
bromine,monoxide,fraction,10,1
bromine,monoxide,lower,10,1
bromine,monoxide,partial,10,1
column,0,4km,10,1
column,density,approximate,10,1
common,era,ce,10,1
density,approximate,error,10,1
ice,core,site,10,1
lagoon,ocean,ble,10,8
lower,tropospheric,vertical,10,1
meters,gas,age,10,1
mol,1,represents,10,1
monoxide,lower,tropospheric,10,1
monoxide,partial,vertical,10,1
partial,vertical,column,10,1
readme,valid,flag,10,1
reported,ethane,mixing,10,1
retrieval,valid,flag,10,1
sy10,sy14,average,10,1
tropospheric,vertical,column,10,1
ble,lter's,data,9,9
data,package,id,9,9
lter's,data,package,9,9
middle,initial,surname,9,9
ocean,ble,lter,9,7
smt,weather,station,9,1
