word1,word2,word3,n,unique_ids
confidence,index,phase,33,1
detector,intensity,fit,33,1
index,phase,detector,33,1
pattern,quality,confidence,33,1
phase,detector,intensity,33,1
position,pattern,quality,33,1
quality,confidence,index,33,1
bottom,dust_tot,tube,16,1
dust_tot,tube,top,16,1
top,bottom,dust_tot,16,1
top,bottom,midpoint,16,1
tube,top,bottom,16,1
bottom,midpoint,top,15,1
midpoint,top,bottom,15,1
latitude,longitude,habitat_type,11,8
station_name,latitude,longitude,11,8
core_id,top_depth,bottom_depth,10,1
sixhour_horizontal_velocity,sixhour_horizontal_velocity_uncertainty,sixhour_horizontal_velocity,10,1
sixhour_horizontal_velocity_uncertainty,sixhour_horizontal_velocity,sixhour_horizontal_velocity_uncertainty,10,1
top_depth,bottom_depth,gas_age,10,1
beginyear,endyear,orcid,9,9
datasetid,givenname,middlename,9,9
givenname,middlename,surname,9,9
middlename,surname,role,9,9
role,beginyear,endyear,9,9
surname,role,beginyear,9,9
lagoon,station,season,8,7
longitude,habitat_type,station_sampling_priority,8,7
node,lagoon,station,8,7
date,borehole,depth,7,3
station,season,date_collected,7,6
avgd13ch4_permil,stdevd13ch4_permil,light_lux,6,6
core,depth,snow,6,1
depth,permafrost,table,6,2
depth,snow,core,6,1
dry,soil,color,6,2
estimated,snow,duration,6,2
frozen,protective,layer,6,3
location,date,borehole,6,3
massive,ice,type,6,3
moist,soil,color,6,2
munsell,moist,soil,6,2
snow,core,depth,6,1
snow,core,volume,6,1
snow,core,weight,6,1
station,latitude,longitude,6,2
acetylene_error,acetylene_error,ethane_error,5,1
acetylene_error,ethane_error,acetylene_solubility_corrected,5,1
aer_dof200,valid_aer_dof200,bro_dofs_fine,5,1
aer_dofs_fine,valid_aer_dofs_fine,aer_dof200,5,1
aot361nm,err_aot361nm,ext361nm_200,5,1
aot361nm_raw,err_aot361nm_raw,ext361nm_200_raw,5,1
borehole,depth,permafrost,5,2
bottom_depth,gas_age,ethane_error,5,1
bottom_depth,gas_age,gas_age_calendar_year,5,1
bro_dof200,valid_bro_dof200,bro_dofaloft,5,1
bro_dofaloft,valid_bro_dofaloft,valid_aot361nm,5,1
bro_dofs_fine,valid_bro_dofs_fine,bro_dof200,5,1
bro_f200,err_bro_f200,bro_pptv_200,5,1
bro_f200_raw,err_bro_f200_raw,aer_dofs_fine,5,1
bro_ltvcd,err_bro_ltvcd,bro_vcd_200,5,1
bro_ltvcd_raw,err_bro_ltvcd_raw,bro_vcd_200_raw,5,1
bro_pptv_200,err_bro_pptv_200,aot361nm_raw,5,1
bro_vcd_200,err_bro_vcd_200,bro_f200,5,1
bro_vcd_200_raw,err_bro_vcd_200_raw,bro_f200_raw,5,1
datetime_utc,lat,lon,5,1
err_aot361nm,ext361nm_200,err_ext361nm_200,5,1
err_aot361nm_raw,ext361nm_200_raw,err_ext361nm_200_raw,5,1
err_bro_f200,bro_pptv_200,err_bro_pptv_200,5,1
err_bro_f200_raw,aer_dofs_fine,valid_aer_dofs_fine,5,1
err_bro_ltvcd,bro_vcd_200,err_bro_vcd_200,5,1
err_bro_ltvcd_raw,bro_vcd_200_raw,err_bro_vcd_200_raw,5,1
err_bro_pptv_200,aot361nm_raw,err_aot361nm_raw,5,1
err_bro_vcd_200,bro_f200,err_bro_f200,5,1
err_bro_vcd_200_raw,bro_f200_raw,err_bro_f200_raw,5,1
err_ext361nm_200,bro_ltvcd,err_bro_ltvcd,5,1
err_ext361nm_200_raw,bro_ltvcd_raw,err_bro_ltvcd_raw,5,1
ethane,acetylene_error,acetylene_error,5,1
ethane_error,core_id,top_depth,5,1
ext361nm_200,err_ext361nm_200,bro_ltvcd,5,1
ext361nm_200_raw,err_ext361nm_200_raw,bro_ltvcd_raw,5,1
gas_age,ethane_error,core_id,5,1
gas_age,gas_age_calendar_year,ethane,5,1
gas_age_calendar_year,ethane,acetylene_error,5,1
geology,parent,material,5,2
geology,topographic,position,5,2
glacial,geology,topographic,5,2
habitat_type,station_sampling_priority,datasetid,5,5
landform,surficial,geology,5,2
lat,lon,num_spectra,5,1
lon,num_spectra,aot361nm,5,1
munsell,dry,soil,5,2
num_spectra,aot361nm,err_aot361nm,5,1
permafrost,table,depth,5,2
season,date_collected,water_column_position,5,5
station_sampling_priority,datasetid,givenname,5,5
surficial,geology,parent,5,2
valid_aer_dof200,bro_dofs_fine,valid_bro_dofs_fine,5,1
valid_aer_dofs_fine,aer_dof200,valid_aer_dof200,5,1
valid_bro_dof200,bro_dofaloft,valid_bro_dofaloft,5,1
valid_bro_dofaloft,valid_aot361nm,valid_bro_ltvcd_sig,5,1
valid_bro_dofs_fine,bro_dof200,valid_bro_dof200,5,1
acetylene_solubility_corrected,core_id,top_depth,4,1
borehole,location,depth,4,2
collection_method,station_name,latitude,4,4
color,hue,munsell,4,2
core,volume,cm3,4,1
cover,dead,moss,4,2
date,latitude,longitude,4,2
date,time,lat,4,2
dead,moss,depth,4,2
depth,dust,thickness,4,2
depth,sample,date,4,1
depth,vegetation,type,4,2
dust,thickness,organic,4,2
ethane_error,acetylene_solubility_corrected,core_id,4,1
ice,frozen,protective,4,3
ice,type,massive,4,1
ice,wedge,degredation,4,1
ice,wedge,thickness,4,1
id,prcntyrsfi,note,4,1
intermediate,layer,pl3,4,1
latitude,longitude,elevation,4,2
latitude,longitude,ghaas_basin_id,4,2
latitude,longitude,month,4,2
layer,pl1,intermediate,4,1
longitude,month,latitude,4,2
massive,ice,frozen,4,3
material,microsite,site,4,2
mercury,concentration,ng,4,1
microsite,site,moisture,4,2
moisture,glacial,geology,4,2
