token,n,unique_ids
na,81,81
station,60,12
latitude,33,14
longitude,33,14
date,32,15
depth,27,6
mixing,25,1
ratio,25,1
daughter,18,1
data,17,10
gas,16,2
sampling,16,7
acetylene,15,1
age,15,1
error,15,1
ethane,15,1
id,15,11
time,15,4
flag,14,4
type,14,11
concentration,13,3
habitat,13,10
temperature,13,4
season,11,8
site,11,3
basin,10,2
bottom,10,1
column,10,10
core,10,1
ice,10,3
top,10,1
begin,9,9
collected,9,8
middle,9,9
node,9,8
orcid,9,9
package,9,9
role,9,9
surname,9,9
water,9,8
identifier,8,1
lagoon,8,7
position,8,8
priority,8,7
recorded,8,1
speed,8,2
unique,8,1
month,7,3
weight,7,1
ghaas,6,2
identification,6,2
leaf,6,1
notes,6,4
river,6,2
sample,6,2
calendar,5,1
collection,5,5
corrected,5,1
day,5,2
method,5,5
signal,5,1
solubility,5,1
vegetation,5,2
velocity,5,1
1,4,2
ammonia,4,2
carbon,4,4
conductivity,4,1
current,4,1
deviation,4,3
ease,4,2
grid,4,2
index,4,1
isotope,4,2
methane,4,2
observation,4,2
soil,4,3
stable,4,2
wave,4,1
wind,4,1
2,3,1
3,3,1
4,3,1
5,3,1
6,3,1
acid,3,2
air,3,1
catch_id,3,1
classification,3,1
d18o,3,1
dew,3,1
down_conn,3,1
effect,3,1
fid,3,1
fraction,3,2
humidity,3,1
hydconn,3,1
iodine,3,1
julian,3,1
modal,3,3
mother,3,1
perimeter,3,1
relative,3,1
residual,3,1
respect,3,1
size,3,3
sound,3,1
specific,3,1
surf_geol,3,1
total_conn,3,1
totallakes,3,1
up_conn,3,1
zone,3,1
223,2,1
azimuth,2,1
composition,2,1
contributor,2,1
datetime,2,1
depth_n,2,1
description,2,2
eastward,2,1
flow,2,1
heading,2,1
height,2,2
katabatic,2,1
light,2,2
measurement,2,2
mole,2,1
nitrate,2,1
nitric,2,1
nitrite,2,1
northward,2,1
pctlakeare,2,1
period,2,1
phosphate,2,1
pressure,2,1
ramet,2,1
row,2,2
salinity,2,1
sensor,2,1
serial,2,1
silicate,2,1
standard,2,2
terms,2,1
timestamp,2,1
10,1,1
179,1,1
18,1,1
181,1,1
271,1,1
30kda,1,1
aao,1,1
acquired,1,1
ao,1,1
applicable,1,1
average,1,1
bearing,1,1
bone,1,1
bounding,1,1
boxes,1,1
calibrated,1,1
category,1,1
chemistry,1,1
citation,1,1
class,1,1
collagen,1,1
conditionnote,1,1
criteria,1,1
daily,1,1
delta,1,1
deployed,1,1
detection,1,1
devices,1,1
dissolved,1,1
ecosystem,1,1
efficient,1,1
element,1,1
energy,1,1
entry,1,1
evaoptranspiration,1,1
extent,1,1
fence,1,1
freshwater,1,1
generic,1,1
geographic,1,1
hour,1,1
hourly,1,1
hypobromous,1,1
idenfier,1,1
information,1,1
instrument,1,1
la,1,1
level,1,1
limit,1,1
locality,1,1
location,1,1
lost,1,1
monobromide,1,1
mv,1,1
nao,1,1
nav,1,1
net,1,1
nitrogen,1,1
organic,1,1
oxygen,1,1
phycoerythrin,1,1
pigment,1,1
pna,1,1
porewater,1,1
potential,1,1
precipitation,1,1
precision,1,1
production,1,1
rainfall,1,1
range,1,1
rate,1,1
raw,1,1
rbr,1,1
reaction,1,1
redox,1,1
retrieved,1,1
saline,1,1
samples,1,1
sea,1,1
setting,1,1
ship,1,1
significant,1,1
sitetype,1,1
slope,1,1
species,1,1
study,1,1
surfacetype,1,1
tcm,1,1
tidal,1,1
timeblock,1,1
total,1,1
transfer,1,1
treatment,1,1
unit,1,1
url,1,1
voltage,1,1
volume,1,1
wavelength,1,1
week,1,1
