word1,word2,word3,n,unique_ids
acetylene,mixing,ratio,15,1
latitude,longitude,habitat,11,8
longitude,habitat,type,11,8
bottom,depth,gas,10,1
depth,bottom,depth,10,1
depth,gas,age,10,1
ethane,mixing,ratio,10,1
habitat,type,station,10,7
mixing,ratio,acetylene,10,1
mixing,ratio,error,10,1
ratio,acetylene,mixing,10,1
top,depth,bottom,10,1
data,package,id,9,9
surname,role,begin,9,9
date,time,recorded,8,1
lagoon,station,sampling,8,7
node,station,lagoon,8,7
sampling,season,date,8,7
station,lagoon,station,8,7
station,node,station,8,7
station,sampling,priority,8,7
station,sampling,season,8,7
type,station,sampling,8,7
water,column,position,8,8
latitude,longitude,date,7,4
season,date,collected,7,6
station,date,time,7,1
collected,water,column,6,6
date,collected,water,6,6
ghaas,river,basin,6,2
river,basin,id,6,2
station,latitude,longitude,6,2
age,ethane,error,5,1
core,identification,top,5,1
core,site,top,5,1
corrected,acetylene,mixing,5,1
error,ethane,mixing,5,1
error,ice,core,5,1
error,solubility,corrected,5,1
ethane,error,ice,5,1
gas,age,ethane,5,1
ice,core,site,5,1
identification,top,depth,5,1
priority,data,package,5,5
ratio,error,ethane,5,1
ratio,error,solubility,5,1
sample,gas,age,5,1
sampling,priority,data,5,5
site,top,depth,5,1
solubility,corrected,acetylene,5,1
collection,method,station,4,4
date,latitude,longitude,4,2
latitude,longitude,ghaas,4,2
latitude,longitude,month,4,2
longitude,date,time,4,1
longitude,ghaas,river,4,2
longitude,month,latitude,4,2
mixing,ratio,core,4,1
month,latitude,longitude,4,2
ratio,core,identification,4,1
air,temperature,dew,3,1
column,position,collection,3,3
down_conn,total_conn,surf_geol,3,1
fid,zone,catch_id,3,1
notes,station,latitude,3,1
position,collection,method,3,3
temperature,relative,humidity,3,1
total_conn,surf_geol,hydconn,3,1
up_conn,down_conn,total_conn,3,1
ammonia,concentration,flag,2,1
azimuth,katabatic,deviation,2,1
basin,id,basin,2,2
basin,id,date,2,2
basin,id,latitude,2,2
column,latitude,longitude,2,2
concentration,ammonia,concentration,2,1
current,heading,northward,2,1
current,speed,current,2,1
data,flag,station,2,1
date,ease,grid,2,2
depth,ghaas,river,2,2
deviation,wind,speed,2,1
ease,grid,column,2,2
ease,grid,row,2,2
grid,column,latitude,2,2
grid,row,ease,2,2
heading,northward,velocity,2,1
hydconn,fid,zone,2,1
ice,temperature,effect,2,1
id,date,ease,2,2
id,latitude,longitude,2,2
iodine,mole,fraction,2,1
katabatic,deviation,wind,2,1
latitude,longitude,soil,2,2
longitude,date,latitude,2,2
longitude,soil,depth,2,2
methane,stable,isotope,2,2
nitrate,nitrite,concentration,2,1
nitric,acid,concentration,2,1
northward,velocity,eastward,2,1
pctlakeare,up_conn,down_conn,2,1
perimeter,totallakes,pctlakeare,2,1
phosphate,concentration,flag,2,1
pressure,depth,speed,2,1
recorded,current,speed,2,1
row,ease,grid,2,2
sampling,priority,station,2,2
silicate,concentration,flag,2,1
site,station,latitude,2,1
soil,depth,ghaas,2,2
sound,specific,conductivity,2,1
speed,air,temperature,2,1
speed,current,heading,2,1
stable,isotope,composition,2,1
surf_geol,hydconn,fid,2,1
temperature,effect,residual,2,1
time,recorded,current,2,1
totallakes,pctlakeare,up_conn,2,1
unique,site,identifier,2,1
vegetation,classification,unique,2,1
velocity,eastward,velocity,2,1
wind,azimuth,katabatic,2,1
wind,speed,air,2,1
1,10,wave,1,1
1,weight,daughter,1,1
10,wave,period,1,1
18,notes,station,1,1
2,weight,daughter,1,1
271,iodine,mole,1,1
3,weight,daughter,1,1
4,weight,daughter,1,1
5,weight,daughter,1,1
6,la,mother,1,1
6,weight,mother,1,1
aao,index,pna,1,1
acid,concentration,ammonia,1,1
acquired,data,precipitation,1,1
ammonia,concentration,ammonia,1,1
ammonia,concentration,nitric,1,1
ao,index,aao,1,1
applicable,range,sample,1,1
average,wave,height,1,1
bearing,notes,station,1,1
bone,element,notes,1,1
bounding,boxes,site,1,1
boxes,site,station,1,1
calibrated,pressure,depth,1,1
carbon,data,flag,1,1
carbon,gas,transfer,1,1
carbon,isotope,standard,1,1
carbon,stable,isotope,1,1
chemistry,unit,reaction,1,1
class,unique,identifier,1,1
classification,unique,idenfier,1,1
classification,unique,identifier,1,1
collected,raw,voltage,1,1
collection,method,habitat,1,1
column,position,carbon,1,1
column,position,delta,1,1
column,position,depth,1,1
column,position,flag,1,1
column,position,julian,1,1
composition,standard,deviation,1,1
concentration,collection,method,1,1
concentration,nitric,acid,1,1
concentration,salinity,specific,1,1
conductivity,conductivity,salinity,1,1
conductivity,salinity,data,1,1
conductivity,station,date,1,1
conductivity,temperature,notes,1,1
contributor,contributor,identifier,1,1
contributor,identifier,citation,1,1
d18o,hourly,timeblock,1,1
d18o,month,season,1,1
d18o,nao,index,1,1
daily,rainfall,latitude,1,1
data,flag,collection,1,1
data,flag,nitrogen,1,1
data,flag,temperature,1,1
date,collected,flag,1,1
date,collected,pigment,1,1
date,time,bearing,1,1
date,time,deployed,1,1
date,time,depth,1,1
date,time,retrieved,1,1
date,time,tidal,1,1
date,wind,azimuth,1,1
datetime,air,temperature,1,1
datetime,wind,azimuth,1,1
daughter,1,leaf,1,1
daughter,1,weight,1,1
daughter,2,leaf,1,1
daughter,2,weight,1,1
daughter,3,leaf,1,1
daughter,3,weight,1,1
daughter,4,leaf,1,1
daughter,4,weight,1,1
daughter,5,leaf,1,1
daughter,5,weight,1,1
daughter,6,la,1,1
daughter,6,weight,1,1
day,total,daily,1,1
day,water,temperature,1,1
delta,oxygen,18,1,1
deployed,date,time,1,1
depth,phycoerythrin,concentration,1,1
depth,significant,wave,1,1
depth_n,depth_n,surfacetype,1,1
detection,limit,applicable,1,1
dissolved,organic,carbon,1,1
eastward,velocity,speed,1,1
eastward,velocity,station,1,1
efficient,site,description,1,1
energy,notes,station,1,1
entry,unique,site,1,1
extent,month,season,1,1
fence,vegetation,type,1,1
flag,collection,method,1,1
flag,nitrogen,data,1,1
flag,temperature,data,1,1
flow,rate,timestamp,1,1
flow,setting,datetime,1,1
fraction,iodine,monobromide,1,1
habitat,type,data,1,1
habitat,type,longitude,1,1
height,wave,energy,1,1
hour,julian,day,1,1
hourly,timeblock,date,1,1
hypobromous,acid,signal,1,1
ice,extent,month,1,1
ice,terms,nav,1,1
identification,ice,terms,1,1
identifier,citation,information,1,1
identifier,latitude,longitude,1,1
identifier,unique,identifier,1,1
identifier,vegetation,class,1,1
index,aao,index,1,1
index,ao,index,1,1
index,pna,index,1,1
index,sea,ice,1,1
iodine,monobromide,hypobromous,1,1
isotope,composition,light,1,1
isotope,composition,standard,1,1
isotope,measurement,light,1,1
isotope,standard,deviation,1,1
julian,day,total,1,1
julian,day,water,1,1
julian,day,week,1,1
latitude,longitude,unique,1,1
latitude,longitude,water,1,1
limit,applicable,range,1,1
location,vegetation,classification,1,1
longitude,latitude,station,1,1
longitude,unique,identifier,1,1
longitude,water,column,1,1
lost,porewater,volume,1,1
measurement,entry,unique,1,1
measurement,light,level,1,1
methane,carbon,stable,1,1
methane,stable,carbon,1,1
method,habitat,type,1,1
mole,fraction,iodine,1,1
monobromide,hypobromous,acid,1,1
month,season,date,1,1
month,season,datetime,1,1
mother,weight,daughter,1,1
nao,index,ao,1,1
nav,terms,url,1,1
net,ecosystem,production,1,1
nitrite,concentration,collection,1,1
nitrite,concentration,station,1,1
nitrogen,data,flag,1,1
node,station,type,1,1
observation,month,season,1,1
organic,carbon,gas,1,1
oxygen,18,notes,1,1
perimeter,totallakes,up_conn,1,1
period,1,10,1,1
period,average,wave,1,1
phycoerythrin,concentration,salinity,1,1
pna,index,sea,1,1
porewater,volume,data,1,1
position,carbon,data,1,1
position,delta,oxygen,1,1
position,depth,phycoerythrin,1,1
position,julian,day,1,1
precision,data,package,1,1
priority,chemistry,unit,1,1
priority,station,date,1,1
priority,station,node,1,1
rainfall,latitude,longitude,1,1
ramet,mother,weight,1,1
range,sample,precision,1,1
rate,timestamp,flow,1,1
raw,voltage,station,1,1
reaction,wavelength,detection,1,1
recorded,data,package,1,1
recorded,pressure,depth,1,1
recorded,station,date,1,1
recorded,water,column,1,1
retrieved,rbr,serial,1,1
saline,site,station,1,1
salinity,data,flag,1,1
salinity,specific,conductivity,1,1
sample,precision,data,1,1
sampling,priority,chemistry,1,1
sea,ice,extent,1,1
season,date,time,1,1
season,date,wind,1,1
season,datetime,wind,1,1
sensor,site,unique,1,1
sensor,unique,site,1,1
setting,datetime,air,1,1
ship,identification,ice,1,1
significant,wave,period,1,1
site,identifier,latitude,1,1
site,identifier,unique,1,1
site,unique,identifier,1,1
slope,notes,station,1,1
soil,sensor,unique,1,1
soil,temperature,measurement,1,1
sound,station,date,1,1
species,ramet,mother,1,1
specific,conductivity,conductivity,1,1
specific,conductivity,station,1,1
specific,conductivity,temperature,1,1
speed,velocity,data,1,1
stable,carbon,isotope,1,1
stable,isotope,measurement,1,1
station,date,collected,1,1
station,type,category,1,1
study,location,vegetation,1,1
temperature,data,flag,1,1
temperature,measurement,entry,1,1
temperature,net,ecosystem,1,1
temperature,notes,station,1,1
terms,nav,terms,1,1
tidal,slope,notes,1,1
time,bearing,notes,1,1
time,collected,raw,1,1
time,deployed,date,1,1
time,depth,significant,1,1
time,latitude,longitude,1,1
time,recorded,data,1,1
time,recorded,instrument,1,1
time,recorded,pressure,1,1
time,recorded,speed,1,1
time,recorded,station,1,1
time,recorded,water,1,1
time,retrieved,rbr,1,1
time,tidal,slope,1,1
timestamp,flow,rate,1,1
timestamp,flow,setting,1,1
total,daily,rainfall,1,1
totallakes,up_conn,down_conn,1,1
treatment,species,ramet,1,1
type,data,package,1,1
type,longitude,latitude,1,1
type,station,date,1,1
type,station,node,1,1
type,treatment,species,1,1
unique,idenfier,day,1,1
unique,identifier,vegetation,1,1
unit,reaction,wavelength,1,1
vegetation,class,unique,1,1
vegetation,classification,description,1,1
vegetation,type,treatment,1,1
velocity,data,flag,1,1
velocity,speed,velocity,1,1
velocity,station,date,1,1
volume,data,station,1,1
water,temperature,net,1,1
wave,energy,notes,1,1
wave,height,wave,1,1
wave,period,1,1,1
wave,period,average,1,1
wavelength,detection,limit,1,1
weight,daughter,1,1,1
weight,daughter,2,1,1
weight,daughter,3,1,1
weight,daughter,4,1,1
weight,daughter,5,1,1
weight,daughter,6,1,1
weight,mother,leaf,1,1
