word1,word2,n,unique_ids,unique_authors
upper,left,66,1,1
approximate,error,55,1,1
prior,quantity,55,1,1
core,program,53,9,1
decimal,degrees,52,15,7
standard,deviation,47,17,11
program,station,45,9,1
ble,lter,41,9,1
lter,core,41,9,1
0,1,39,2,2
0,200m,35,1,1
bromine,monoxide,35,1,1
mixing,ratio,35,2,2
valid,flag,35,1,1
analyzed,pattern,33,1,1
angular,misfit,33,1,1
detector,angular,33,1,1
diffraction,bands,33,1,1
edax,tsl,33,1,1
forward,scatter,33,1,1
identified,diffraction,33,1,1
modeled,solution,33,1,1
pattern,edax,33,1,1
phase,scans,33,1,1
scan,quality,33,1,1
scans,signal,33,1,1
scatter,detector,33,1,1
signal,recorded,33,1,1
single,phase,33,1,1
tsl,parameter,33,1,1
ble,lter's,29,9,1
meters,bottom,29,5,3
ease,grid,28,2,2
northern,hemisphere,28,2,2
yyyy,mm,28,12,4
ice,core,27,2,2
grain,identification,26,1,1
internal,grain,26,1,1
exact,coordinates,25,10,2
quantity,raw,25,1,1
1.0,northern,24,2,2
close,vicinity,24,9,1
conditions,sampling,24,9,1
coordinates,based,24,2,2
degrees,note,24,9,1
dry,soil,24,3,2
epsg,3408,24,2,2
field,conditions,24,9,1
grid,1.0,24,2,2
grid,cell,24,2,2
hemisphere,epsg,24,2,2
massive,ice,24,3,1
model,grid,24,2,2
pmol,mol,24,2,2
10.1029,2010jf001934,22,1,1
10.1038,nature13796,22,1,1
2001,doi,22,1,1
2010jf001934,andrews,22,1,1
2014,doi,22,1,1
2018,jgr,22,1,1
al,2001,22,1,1
al,2014,22,1,1
al,2018,22,1,1
doi,10.1029,22,1,1
doi,10.1038,22,1,1
horizontal,velocity,22,1,1
mm,dd,22,12,5
sy10,sy14,22,1,1
velocity,processing,22,1,1
station,code,21,10,2
200m,approximate,20,1,1
cell,coordinates,20,2,2
column,density,20,1,1
mol,1,20,1,1
quantity,bromine,20,1,1
raw,measurement,20,1,1
vertical,column,20,1,1
1,dry,18,1,1
13c,notation,18,7,1
carbon,isotope,18,7,1
cavity,ring,18,7,1
crds,g220l,18,7,1
daughter,tiller,18,1,1
delta,13c,18,7,1
isotope,composition,18,7,1
notation,measured,18,7,1
permil,delta,18,7,1
picarro,cavity,18,7,1
polygon,center,18,2,1
relevant,text,18,1,1
spectrometer,crds,18,7,1
stable,carbon,18,7,1
text,strings,18,1,1
average,stable,17,7,1
field,describes,17,1,1
intermediate,layer,17,3,1
strings,internal,17,1,1
transect,identification,17,2,1
meters,midpoint,16,1,1
particles,id,16,1,1
survey,instruments,16,2,1
topographic,survey,16,2,1
total,amount,16,1,1
tube,top,16,1,1
bro,retrieval,15,1,1
core,sample,15,1,1
core,top,15,1,1
ethane,mixing,15,1,1
gas,age,15,1,1
weather,station,15,2,2
snow,core,14,1,1
soil,samples,14,3,2
air,temperature,13,3,3
bottom,depth,13,4,2
habitat,type,13,10,2
lagoon,ocean,13,10,2
river,lagoon,13,10,2
taxonomic,assignment,13,1,1
top,depth,13,4,2
validy,8,13,1,1
1,standard,12,6,4
3408,longitude,12,2,2
8,validy,12,1,1
degrees,longitude,12,5,5
lter's,core,12,9,1
type,river,12,9,1
15,minute,11,1,1
6,hour,11,1,1
calculation,determined,11,1,1
cm,2,11,2,2
displacement,equation,11,1,1
horizontal,ice,11,1,1
hour,difference,11,1,1
ice,surface,11,1,1
ice,velocity,11,1,1
minute,position,11,1,1
moving,6,11,1,1
relative,humidity,11,2,2
station,calculated,11,1,1
station,habitat,11,8,1
station,longitude,11,8,1
station,sampling,11,8,2
surface,motion,11,1,1
sy14,standard,11,1,1
unique,identifier,11,3,3
velocity,calculation,11,1,1
0,4km,10,1,1
1,represents,10,1,1
361nm,approximate,10,1,1
acetylene,mixing,10,1,1
aerosol,optical,10,1,1
aerosol,retrieval,10,1,1
column,0,10,1,1
common,era,10,1,1
core,site,10,1,1
density,approximate,10,1,1
era,ce,10,1,1
fine,grid,10,1,1
human,disturbance,10,2,1
lower,tropospheric,10,1,1
lowest,200m,10,1,1
meters,gas,10,1,1
monoxide,fraction,10,1,1
monoxide,lower,10,1,1
monoxide,partial,10,1,1
ocean,ble,10,8,1
optical,thickness,10,1,1
partial,vertical,10,1,1
readme,valid,10,1,1
reported,ethane,10,1,1
retrieval,valid,10,1,1
sample,depth,10,2,1
sy14,average,10,1,1
total,degrees,10,1,1
tropospheric,vertical,10,1,1
water,column,10,9,3
additional,notes,9,5,5
attribute,definition,9,2,2
code,date,9,3,1
data,package,9,9,1
dataset,beginning,9,9,1
dataset,orcid,9,9,1
initial,surname,9,9,1
lter's,data,9,9,1
middle,initial,9,9,1
moisture,content,9,1,1
package,id,9,9,1
smt,weather,9,1,1
standard,error,9,5,3
vegetation,type,9,3,2
2005,units,8,1,1
ablation,rate,8,1,1
al,2005,8,1,1
analysis,system,8,2,2
centered,polygon,8,1,1
code,ble,8,7,1
collected,yyyy,8,7,1
date,collected,8,7,1
day,index,8,1,1
degree,day,8,1,1
degrees,celsius,8,3,3
experiment,appears,8,1,1
final,paper,8,1,1
global,hydrologic,8,2,2
gmt,8,8,1,1
hydrologic,archive,8,2,2
ice,wedge,8,1,1
located,ble,8,7,1
lter's,research,8,7,1
modified,degree,8,1,1
organic,carbon,8,4,4
program,lagoon,8,7,1
program,sampling,8,7,1
research,nodes,8,7,1
research,program,8,7,1
sampling,priority,8,7,1
sampling,season,8,7,1
season,date,8,7,1
soil,layer,8,3,1
surface,ablation,8,1,1
system,ghaas,8,2,2
thaw,depth,8,3,1
time,recorded,8,1,1
transient,layer,8,3,1
water,equivalent,8,1,1
002,64,7,7,1
64,temperature,7,7,1
64k,logger,7,7,1
floating,ice,7,1,1
hobo,pendant,7,7,1
ice,regime,7,1,1
light,64k,7,7,1
light,level,7,7,1
lux,measured,7,7,1
moist,soil,7,2,1
onset,hobo,7,7,1
osmosampler,measured,7,7,1
pendant,ua,7,7,1
temperature,light,7,7,1
ua,002,7,7,1
unknown,attribute,7,1,1
01,data,6,1,1
1,taxonomic,6,1,1
16,01,6,1,1
1984,wgs84,6,1,1
active,layer,6,3,1
agc,16,6,1,1
algae,cover,6,1,1
basin,id,6,2,2
concentration,flag,6,1,1
control,notes,6,1,1
correct,taxonomic,6,1,1
cover,percentage,6,1,1
data,report,6,1,1
database,compiled,6,1,1
date,time,6,4,3
date,yyyy,6,2,2
depth,database,6,1,1
detection,limit,6,2,2
drilling,includes,6,3,1
dry,weight,6,2,1
frozen,soil,6,3,1
geodetic,system,6,1,1
gravimetric,moisture,6,1,1
horsetails,algae,6,1,1
hourly,data,6,2,2
ice,bodies,6,3,1
ice,body,6,2,1
ice,thickness,6,3,2
instruments,coordinates,6,1,1
lake,depths,6,1,1
layer,transient,6,3,1
level,probability,6,1,1
level,ranges,6,1,1
measured,snow,6,1,1
measured,volume,6,1,1
plot,t1,6,1,1
plot,t2,6,1,1
published,data,6,1,1
quality,control,6,1,1
quantum,yield,6,1,1
resin,strip,6,1,1
rock,cover,6,2,2
sample,site,6,1,1
sampling,site,6,1,1
soil,temperature,6,2,2
soil,total,6,1,1
system,1984,6,1,1
water,measured,6,1,1
wgs84,datum,6,1,1
world,geodetic,6,1,1
0.5,nan,5,1,1
0.65,nan,5,1,1
0.7,nan,5,1,1
00,00,5,1,1
00,utc,5,1,1
1,acetylene,5,1,1
1,approximate,5,1,1
1,uncertainty,5,1,1
1.4,nan,5,1,1
1.5,nan,5,1,1
10,12,5,1,1
12,molecule,5,1,1
18,00,5,1,1
18,30,5,1,1
18,59,5,1,1
1950,gas,5,1,1
1980,table,5,2,1
2,representing,5,1,1
200m,2km,5,1,1
200m,aerosol,5,1,1
200m,bro,5,1,1
200m,bro_vcd_200,5,1,1
2km,bro,5,1,1
30,00,5,1,1
4km,aerosol,5,1,1
4km,bro,5,1,1
5,nan,5,1,1
59,59,5,1,1
59,utc,5,1,1
acetylene,corrected,5,1,1
aer_dof200,0.65,5,1,1
akdt,time,5,1,1
analysis,e.g,5,1,1
aot361nm,5,5,1,1
average,mixing,5,1,1
average,percent,5,1,1
background,subtracted,5,1,1
beryllium,7,5,1,1
book,comments,5,1,1
bro,layer,5,1,1
bro_dof200,0.7,5,1,1
bro_dofaloft,0.5,5,1,1
bro_dofs_fine,1.4,5,1,1
bro_ltvcd,approximate,5,1,1
bro_vcd_200,bro_ltvcd,5,1,1
bryophytes,cover,5,2,1
buoy,latitude,5,1,1
buoy,longitude,5,1,1
ce,estimated,5,1,1
ce,ethane,5,1,1
cims,signal,5,1,1
coarse,grid,5,1,1
coarse,layer,5,1,1
core,measured,5,2,2
data,aerosol,5,1,1
data,analysis,5,1,1
data,line,5,1,1
ddthh:mm,hh,5,2,1
depletion,occurring,5,1,1
deviation,mixing,5,1,1
deviation,uncertainty,5,1,1
disturbance,type,5,2,1
disturbed,vegetation,5,1,1
dofs_fine,1.5,5,1,1
estimated,error,5,1,1
estimated,solubility,5,1,1
exposure,scale,5,2,1
extinction,0,5,1,1
extraction,method,5,1,1
freedom,coarse,5,1,1
glacial,geology,5,2,1
ground,level,5,1,1
hour's,data,5,1,1
hz,hz,5,1,1
ice,type,5,2,1
iodine,water,5,1,1
km,1,5,1,1
labeled,18,5,1,1
latitude,north,5,2,2
layer,200m,5,1,1
layer,based,5,2,1
layer,valid,5,1,1
level,approximate,5,1,1
line,labeled,5,1,1
lofted,bro,5,1,1
ltvcd,7,5,1,1
measuring,concentration,5,1,1
midpoint,time,5,1,1
mm,ddthh:mm,5,2,1
mol,ice,5,1,1
molecule,cm,5,1,1
monoxide,average,5,1,1
normalized,relative,5,1,1
north,buoy,5,1,1
organic,material,5,3,2
percent,cover,5,1,1
percent,rock,5,1,1
picomol,mol,5,1,1
quantity,extinction,5,1,1
quantity,total,5,1,1
ratio,1,5,1,1
raw,bromine,5,1,1
readme,surface,5,1,1
reported,acetylene,5,1,1
retrieval,lofted,5,1,1
sample,collection,5,3,3
sample,measured,5,2,2
sampling,column,5,1,1
significant,amount,5,1,1
site,estimated,5,2,1
site,moisture,5,2,1
site,top,5,1,1
solubility,depletion,5,1,1
specific,data,5,2,2
subtracted,uncalibrated,5,1,1
surface,0,5,1,1
table,6,5,2,1
tare,weight,5,2,1
time,stamps,5,1,1
topographic,position,5,2,1
type,based,5,2,1
uncalibrated,cims,5,1,1
utc,buoy,5,1,1
vegetation,classification,5,1,1
vegetation,types,5,1,1
water,cluster,5,1,1
webber,1980,5,2,1
wet,extraction,5,1,1
1,northern,4,2,2
100,liters,4,1,1
3408,basin,4,2,2
3408,month,4,2,2
721x721,matrix,4,2,2
abbreviated,site,4,2,2
age,range,4,1,1
ammonia,concentration,4,2,2
arctic,treeline,4,1,1
average,student,4,1,1
basal,melt,4,1,1
basin,outlet,4,2,2
borehole,depth,4,1,1
calculate,concentrations,4,1,1
calm,periods,4,1,1
cell,representing,4,2,2
coast,coordinates,4,2,2
code,glacial,4,2,1
code,latitude,4,1,1
coordinate,decimal,4,1,1
coordinate,degree,4,1,1
counted,measured,4,1,1
data,flag,4,2,1
dd,latitude,4,2,2
dead,moss,4,2,1
default,id,4,1,1
degradation,status,4,1,1
degrading,ice,4,1,1
degree,minute,4,1,1
degrees,date,4,1,1
depth,top,4,1,1
dissolved,mercury,4,1,1
distance,measured,4,1,1
disturbance,stability,4,2,1
dry,mass,4,2,2
dust,centimeters,4,2,1
ect9,protocol,4,1,1
elevation,measured,4,2,1
esri,default,4,1,1
estimated,duration,4,2,1
field,ble,4,4,1
generalized,category,4,1,1
grain,size,4,4,2
grid,version,4,2,2
hatch,date,4,1,1
hemisphere,721x721,4,2,2
hydroxyl,radical,4,1,1
hz,background,4,1,1
ibutton,transect,4,1,1
ice,wedges,4,1,1
icp,ms,4,1,1
iso8601,yyyy,4,1,1
low,centered,4,1,1
material,centimeters,4,2,1
measurement,location,4,1,1
measurement,measurement,4,1,1
meters,photopoints,4,1,1
meters,vegetation,4,2,1
method,ice,4,1,1
micro,molars,4,1,1
microrelief,thaw,4,2,1
million,stable,4,1,1
mm,latitude,4,2,2
moisture,code,4,2,1
molars,measured,4,1,1
mole,fraction,4,1,1
month,yyyy,4,2,2
moss,thickness,4,2,1
notes,observations,4,1,1
parent,material,4,2,1
photo,percent,4,1,1
photo,type,4,2,1
photosynthesis,umol,4,4,1
pleurocarpous,bryophytes,4,2,1
plot,aspect,4,2,1
plot,elevation,4,2,1
plot,identification,4,1,1
plot,photo,4,2,1
polygon,centers,4,1,1
radio,transmitter,4,1,1
releves,counted,4,1,1
sampling,based,4,1,1
sampling,location,4,2,2
sea,level,4,2,1
site,latitude,4,2,2
site,parent,4,2,1
site,topographic,4,2,1
site,wind,4,2,1
soil,chroma,4,2,1
soil,hue,4,2,1
soil,photo,4,2,1
soil,run,4,1,1
species,code,4,2,1
square,kilometers,4,3,3
study,location,4,1,1
suspended,particles,4,1,1
thu,airport,4,1,1
tissue,analyzed,4,1,1
total,nitrogen,4,1,1
total,organic,4,1,1
total,suspended,4,1,1
transmitter,attached,4,1,1
trough,date,4,2,1
trough,range,4,2,1
unique,id,4,1,1
version,1,4,2,2
