token,n,unique_ids
1,192,20
core,186,20
sample,130,33
0,118,3
ice,117,15
depth,113,19
station,111,16
measured,110,24
meters,106,15
soil,104,10
degrees,101,19
position,91,8
data,86,26
site,85,16
sampling,84,25
date,80,31
al,78,2
error,76,10
field,76,15
units,73,14
ble,70,9
layer,70,7
scan,68,3
upper,68,2
grid,67,3
"0,0",66,1
left,66,1
microns,66,1
phase,66,1
solution,66,1
top,66,16
identification,65,9
plot,65,7
total,65,16
latitude,64,23
longitude,64,23
column,63,16
measurement,62,15
time,62,18
type,62,25
program,61,9
valid,61,2
approximate,58,3
prior,57,2
standard,57,23
coordinates,56,14
quantity,56,2
flag,55,9
id,54,22
decimal,53,16
transect,52,5
center,51,7
water,51,21
200m,50,1
deviation,50,18
based,47,9
recorded,47,4
temperature,47,21
bottom,45,5
ratio,45,7
andrews,44,1
doi,44,1
signal,44,3
average,42,13
code,42,16
found,42,7
quality,42,4
surface,42,13
5,41,8
lter,41,9
reported,41,5
day,40,10
distance,40,5
percent,39,12
scale,39,4
snow,39,9
internal,38,10
location,38,12
thickness,38,7
velocity,38,2
analyzed,37,2
dry,37,5
road,37,3
single,37,3
cover,36,4
notes,36,17
polygon,36,4
bromine,35,1
carbon,35,13
mixing,35,2
monoxide,35,1
nan,35,1
bands,34,2
identified,34,2
parameter,34,2
analysis,33,9
angular,33,1
collected,33,15
defines,33,1
detector,33,1
diffraction,33,1
edax,33,1
forward,33,1
horizontal,33,1
information,33,8
lake,33,9
misfit,33,1
modeled,33,1
pattern,33,1
robust,33,1
scans,33,1
scatter,33,1
tsl,33,1
mm,32,14
yyyy,31,13
dataset,30,10
grain,30,5
hemisphere,30,3
level,30,12
northern,30,3
unique,30,5
lter's,29,9
mol,29,2
description,28,7
ease,28,2
note,28,12
uncertainty,28,4
2014,27,4
concentration,27,8
conditions,27,12
nest,27,1
plots,27,5
raw,27,3
role,27,9
catchment,26,1
retrieval,26,2
validy,26,1
aerosol,25,2
bro,25,1
cell,25,3
close,25,10
due,25,10
exact,25,10
freedom,25,1
identifier,25,8
osmosampler,25,7
processing,25,2
1.0,24,2
2,24,12
3408,24,2
6,24,7
8,24,4
carried,24,9
comments,24,6
epsg,24,2
massive,24,3
model,24,2
pmol,24,2
vicinity,24,9
weight,24,4
dd,23,13
dust,23,3
samples,23,7
trough,23,4
10.1029,22,1
10.1038,22,1
2001,22,1
2010jf001934,22,1
2018,22,1
amount,22,3
hoffman,22,1
isotope,22,8
jgr,22,1
nature13796,22,1
observation,22,5
stable,22,8
sy10,22,1
sy14,22,1
age,21,3
degree,21,8
density,21,2
estimated,21,6
lagoon,21,10
midpoint,21,2
rate,21,5
relevant,21,4
tiller,21,1
topographic,21,2
methane,20,8
moisture,20,3
particles,20,2
species,20,7
survey,20,3
utc,20,3
vegetation,20,5
vertical,20,1
composition,19,8
elevation,19,4
fraction,19,3
ground,19,8
minute,19,3
organic,19,9
permil,19,8
relative,19,5
spectrometer,19,8
strings,19,2
text,19,2
weather,19,5
100,18,6
13c,18,7
additional,18,10
calculated,18,6
cavity,18,7
crds,18,7
daughter,18,1
delta,18,7
g220l,18,7
logger,18,10
middle,18,9
notation,18,7
numbered,18,2
photo,18,6
picarro,18,7
ring,18,7
describes,17,1
determined,17,4
intermediate,17,3
north,17,8
00,16,2
18,16,2
gas,16,2
instruments,16,2
located,16,11
research,16,7
river,16,12
sum,16,3
t1,16,1
t2,16,1
taxonomic,16,1
tube,16,1
acetylene,15,1
assignment,15,2
coordinate,15,3
derived,15,4
ethane,15,1
height,15,8
km,15,5
light,15,8
material,15,8
ocean,15,12
range,15,6
readme,15,1
system,15,4
basin,14,2
equation,14,4
frozen,14,3
hour,14,3
index,14,4
instrument,14,6
10,13,5
air,13,3
bird,13,1
centimeters,13,4
dbo,13,4
difference,13,3
experiment,13,2
habitat,13,10
sighting,13,3
unknown,13,2
volume,13,4
7,12,3
borehole,12,6
cm,12,3
connectivity,12,1
lower,12,2
measurements,12,6
partial,12,2
season,12,9
table,12,5
wind,12,3
15,11,1
arctic,11,6
attribute,11,2
calculation,11,1
displacement,11,1
feature,11,3
human,11,3
humidity,11,2
hydrologic,11,3
lowest,11,2
mass,11,4
motion,11,1
moving,11,1
optical,11,1
propagating,11,1
ug,11,1
x_uncertainty,11,1
y_uncertainty,11,1
3,10,7
361nm,10,1
4km,10,1
59,10,1
alaska,10,6
animal,10,2
buoy,10,1
calendar,10,1
ce,10,1
class,10,6
coarse,10,1
common,10,1
control,10,2
cryostructures,10,3
dead,10,3
detection,10,3
disturbance,10,2
era,10,1
extinction,10,1
extraction,10,5
fine,10,1
ghaas,10,2
hz,10,1
initial,10,10
normalized,10,2
percentage,10,4
plant,10,2
represents,10,1
sea,10,7
speed,10,3
students,10,1
thaw,10,3
treatment,10,2
tropospheric,10,1
beginning,9,9
collection,9,6
content,9,1
definition,9,2
disturbed,9,2
geology,9,3
individual,9,5
label,9,3
liters,9,3
method,9,5
modified,9,2
month,9,5
nodes,9,8
observations,9,5
orcid,9,9
package,9,9
regime,9,2
representing,9,3
respect,9,1
size,9,8
smt,9,1
study,9,3
surname,9,9
types,9,2
values,9,5
wet,9,2
µg,9,1
12,8,3
2005,8,1
ablation,8,1
agc,8,2
algae,8,2
appears,8,1
archive,8,2
assigned,8,5
celsius,8,3
centered,8,1
database,8,2
drilling,8,3
equivalent,8,1
figure,8,1
final,8,1
global,8,2
gmt,8,1
hourly,8,3
includes,8,4
iodine,8,1
labeled,8,2
leaf,8,2
melt,8,2
microrelief,8,2
millimeters,8,1
nitrogen,8,3
paper,8,1
pellicciotti,8,1
peptide,8,1
pressure,8,4
priority,8,7
resin,8,1
specific,8,5
status,8,3
student,8,1
times,8,1
transient,8,3
trees,8,1
wedge,8,1
002,7,7
1.5,7,2
16,7,2
64,7,7
64k,7,7
body,7,3
calculate,7,4
considered,7,1
count_fi,7,1
count_year,7,1
counted,7,3
dissolved,7,4
east,7,2
floating,7,1
growth,7,4
hobo,7,7
leaves,7,1
lux,7,7
main,7,1
measuring,7,3
mercury,7,1
moist,7,2
multiplied,7,1
onset,7,7
pendant,7,7
phosphate,7,2
photosynthesis,7,4
primary,7,4
quotient,7,1
replicate,7,2
report,7,1
rock,7,3
sequence,7,3
ua,7,7
zone,7,2
01,6,1
1984,6,1
active,6,3
attached,6,2
azimuth,6,1
block,6,3
bodies,6,3
book,6,1
category,6,3
centimeter,6,2
classification,6,1
codes,6,2
color,6,2
compiled,6,1
concentrations,6,3
correct,6,1
dated,6,4
datum,6,1
depths,6,1
duration,6,2
e.g,6,2
geodetic,6,1
gps,6,3
gravimetric,6,1
hh,6,2
horsetails,6,1
identity,6,2
lakes,6,3
length,6,4
limit,6,2
line,6,2
listed,6,6
m2,6,1
multiple,6,4
nitrate,6,3
oxygen,6,5
probability,6,1
proficient,6,1
published,6,1
quantum,6,1
radiocarbon,6,3
ranges,6,1
roadside,6,3
row,6,5
run,6,2
sampled,6,5
search,6,2
set,6,2
square,6,5
strip,6,1
surveyed,6,1
tree,6,1
uncalibrated,6,2
wgs84,6,1
world,6,1
yield,6,1
0.5,5,1
0.65,5,1
0.7,5,1
1.4,5,1
1950,5,1
1980,5,2
25,5,2
2km,5,1
30,5,1
4,5,3
abbreviated,5,3
aer_dof200,5,1
akdt,5,1
aot361nm,5,1
applied,5,2
background,5,1
beryllium,5,1
bro_dof200,5,1
bro_dofaloft,5,1
bro_dofs_fine,5,1
bro_ltvcd,5,1
bro_vcd_200,5,1
bryophytes,5,2
captured,5,1
centers,5,2
cims,5,1
cluster,5,1
combination,5,3
conductivity,5,1
corrected,5,1
count,5,2
current,5,2
d18o,5,2
ddthh:mm,5,2
deg,5,2
depletion,5,1
dew,5,2
dofs_fine,5,1
entry,5,3
exposure,5,2
frost,5,2
generalized,5,2
glacial,5,2
