word1,word2,n,unique_ids,unique_authors
latitude,longitude,32,13,6
mixing,ratio,25,1,1
station,sampling,16,7,1
acetylene,mixing,15,1,1
gas,age,15,1,1
date,time,13,2,2
habitat,type,12,9,1
longitude,habitat,11,8,1
bottom,depth,10,1,1
depth,bottom,10,1,1
depth,gas,10,1,1
ethane,mixing,10,1,1
ratio,acetylene,10,1,1
ratio,error,10,1,1
top,depth,10,1,1
type,station,10,7,1
data,package,9,9,1
node,station,9,8,2
package,id,9,9,1
role,begin,9,9,1
season,date,9,8,2
station,date,9,3,1
surname,role,9,9,1
column,position,8,8,2
date,collected,8,7,1
lagoon,station,8,7,1
sampling,priority,8,7,1
sampling,season,8,7,1
station,lagoon,8,7,1
station,node,8,7,1
time,recorded,8,1,1
water,column,8,8,2
longitude,date,7,4,4
basin,id,6,2,2
collected,water,6,6,1
concentration,flag,6,1,1
ghaas,river,6,2,2
river,basin,6,2,2
station,latitude,6,2,2
weight,daughter,6,1,1
age,ethane,5,1,1
collection,method,5,5,1
core,identification,5,1,1
core,site,5,1,1
corrected,acetylene,5,1,1
data,flag,5,2,1
error,ethane,5,1,1
error,ice,5,1,1
error,solubility,5,1,1
ethane,error,5,1,1
ice,core,5,1,1
identification,top,5,1,1
notes,station,5,3,2
priority,data,5,5,1
sample,gas,5,1,1
site,top,5,1,1
solubility,corrected,5,1,1
unique,identifier,5,1,1
ammonia,concentration,4,2,2
date,latitude,4,2,2
ease,grid,4,2,2
longitude,ghaas,4,2,2
longitude,month,4,2,2
method,station,4,4,1
month,latitude,4,2,2
ratio,core,4,1,1
air,temperature,3,1,1
daughter,1,3,1,1
daughter,2,3,1,1
daughter,3,3,1,1
daughter,4,3,1,1
daughter,5,3,1,1
daughter,6,3,1,1
down_conn,total_conn,3,1,1
fid,zone,3,1,1
julian,day,3,1,1
melt,rate,3,1,1
methane,stable,3,2,1
modal,size,3,3,1
month,season,3,1,1
perimeter,totallakes,3,1,1
position,collection,3,3,1
rate,uncertainty,3,1,1
relative,humidity,3,1,1
specific,conductivity,3,1,1
stable,isotope,3,2,1
surf_geol,hydconn,3,1,1
temperature,dew,3,1,1
temperature,effect,3,1,1
temperature,relative,3,1,1
