identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,propertyURI,valueURI,viewURL,query_datetime_utc,status,assigned_valueURI
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4,"Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing",latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,Regional survey,Latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,Elson 2015 spatial survey,Latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,IBP C diel pCO2 data,Latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,IBP C Daily NEP,Latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/1/7,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/11/1,Stable isotopes from particulate organic matter (POM),latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/11/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/12/1,Sediment pigment concentrations,latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/12/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/13/1,Water column chlorophyll-a concentrations,latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/13/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/14/2,Water column nutrient data,latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/14/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/14/2,Sediment porewater nutrient data,latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/14/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/3/1,"Conductivity temperature depth data (CTD), 2018-ongoing",latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/3/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/3/1,"Tilt current meter data (TCM), 2018-ongoing",latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/3/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/3/1,"Water column physiochemistry data (YSI), 2018-ongoing",latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/3/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/4/1,"d18O, 2019-ongoing",latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/4/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,"Runoff from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,"Baseflow from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,"Snow water equivalent from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,"Soil temperatures from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,Model domain definition,latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,GHAAS basins modelled,latitude,Latitude,"Latitude at center of the model grid cell representing the basin outlet at the coast. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/5/2,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,"RBR temperature depth (CTD) data, 2018-ongoing",latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,"RBR wave data, 2018-ongoing",latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,"Tilt current meter (TCM) data, 2018-ongoing",latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,Mooring deployment information,latitude,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/7/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/9/1,Hourly water pH record,latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/9/1,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Runoff from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Baseflow from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Snow water equivalent from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Soil temperatures from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,Model domain definition,latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,GHAAS basins modelled,latitude,Latitude,"Latitude at center of the model grid cell representing the basin outlet at the coast. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,NA,NA,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:fc2541a0-2669-4f16-aeb6-4022ca56928d,"Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing",latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,NA,NA,https://search.dataone.org/view/urn:uuid:fc2541a0-2669-4f16-aeb6-4022ca56928d,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A24Q7QR0V,BoulderPatchCoordinates.csv,latitude_dd,latitude,latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A24Q7QR0V,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A26T0GX06,Healy_July2013_MMWatchData_colorRegions_format_dp.csv,LAT,NA,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A26T0GX06,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A26T0GX06,Healy_Aug2012_MMWatchData_colorRegions_format_dp.csv,LAT,NA,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A26T0GX06,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2736M31X,siteinfo.csv,lat,Latitude,Decimal degree latitude of the study location provided by data contributor. All values are north of the equator.,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2736M31X,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A29882N5H,brwdoas_L3_BrO_2012_v1_aon.txt,lat,NA,"Buoy latitude, + for North",degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A29882N5H,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A29882N5H,brwdoas_L3_BrO_2013_v1_aon.txt,lat,NA,"Buoy latitude, + for North",degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A29882N5H,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A29882N5H,brwdoas_L3_BrO_2014_v1_aon.txt,lat,NA,"Buoy latitude, + for North",degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A29882N5H,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A29882N5H,brwdoas_L3_BrO_2015_v1_aon.txt,lat,NA,"Buoy latitude, + for North",degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A29882N5H,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A29882N5H,brwdoas_L3_BrO_2016_v1_aon.txt,lat,NA,"Buoy latitude, + for North",degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A29882N5H,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2NV99B09,Healy_DBONCIS_Aug2018_byDBOregion.csv,LAT,NA,Latitude of sighting,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2NV99B09,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2NV99B09,DBO_SWL_2018.csv,LAT (N),NA,Latitude of sighting,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2NV99B09,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2M61BQ8M,arcsees_colleen_a_2014_2.1a_t1_summary_enviro.csv,Latitude,NA,Latitude of sample site,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2M61BQ8M,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2M61BQ8M,arcsees_colleen_a_2014_2.1b_t2_summary_enviro.csv,Latitude,NA,Latitude of sample site,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2M61BQ8M,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2M61BQ8M,arcsees_colleen_a_2014_2.6_location_elevation.csv,Lat (DD),NA,The latitude of the coordinate,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2M61BQ8M,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2M61BQ8M,arcsees_colleen_a_2014_2.7abc_templogger_location.csv,Latitude,NA,Latitude of sample site,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2M61BQ8M,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2PN8XG4B,7 Legacy OCPs in the Surface Seawater from East Asia to the high Arctic in 2016.csv,Latitude,NA,Latitude of sampling site,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2PN8XG4B,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2PN8XG4B,7 Legacy OCPs in the Surface Seawater from East Asia to the high Arctic in 2017.csv,Latitude,NA,Latitude of sampling site,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2PN8XG4B,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2PN8XG4B,7 Legacy OCPs in the atmosphere from East Asia to the high Arctic in 2017.csv,Latitude,NA,Latitude of sampling site,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2PN8XG4B,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2V97ZR7H,Data_air_1min.csv,Lat(North),NA,Latitude (North) of measurement location,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2V97ZR7H,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2V97ZR7H,Data_water_1min.csv,Lat(North),NA,Latitude (North) of measurement location,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2V97ZR7H,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A2VM42Z20,ARCSEES_AirportSite_2015_TBL3.1A_T3_EnviroData.csv,LATITUDE,NA,Latitude of sample measured using topographic survey instruments described in the AGC 16-01 data report,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2VM42Z20,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
