"","token","n","unique_ids","unique_authors"
"1","position",74,3,2
"2","depth",71,8,4
"3","latitude",47,17,8
"4","longitude",47,17,8
"5","notes",47,15,11
"6","type",44,10,8
"7","date",41,17,12
"8","bottom",35,4,2
"9","top",35,4,2
"10","soil",34,3,2
"11","confidence",33,1,1
"12","detector",33,1,1
"13","fit",33,1,1
"14","index",33,1,1
"15","intensity",33,1,1
"16","pattern",33,1,1
"17","phase",33,1,1
"18","quality",33,1,1
"19","snow",30,4,2
"20","core",26,7,5
"21","grain",26,1,1
"22","station",26,12,4
"23","location",25,6,4
"24","plot",25,4,2
"25","transect",24,3,2
"26","distance",22,4,2
"27","5yrs",21,1,1
"28","ice",21,4,2
"29","road",21,3,1
"30","sample",21,7,5
"31","borehole",20,3,1
"32","id",20,9,7
"33","site",19,11,8
"34","comments",17,6,5
"35","height",17,5,3
"36","dry",16,3,2
"37","dust_tot",16,1,1
"38","layer",16,4,2
"39","midpoint",16,1,1
"40","t1",16,1,1
"41","t2",16,1,1
"42","tube",16,1,1
"43","color",15,3,2
"44","moisture",15,3,2
"45","photo",15,9,3
"46","lat",13,6,5
"47","munsell",13,2,1
"48","date_time",12,3,2
"49","massive",12,3,1
"50","station_name",12,9,1
"51","weight",12,3,1
"52","center",11,2,1
"53","elevation",11,2,1
"54","habitat_type",11,8,1
"55","sixhour_horizontal_velocity",11,1,1
"56","sixhour_horizontal_velocity_uncertainty",11,1,1
"57","thickness",11,2,1
"58","acetylene_error",10,1,1
"59","bottom_depth",10,1,1
"60","core_id",10,1,1
"61","cover",10,2,1
"62","disturbance",10,2,1
"63","ethane_error",10,1,1
"64","gas_age",10,1,1
"65","geology",10,2,1
"66","microrelief",10,3,1
"67","organic",10,3,2
"68","releve",10,2,1
"69","table",10,3,1
"70","time",10,4,3
"71","top_depth",10,1,1
"72","10521700",9,1,1
"73","beginyear",9,9,1
"74","datasetid",9,9,1
"75","dead",9,3,2
"76","disturbed",9,2,1
"77","dust",9,2,1
"78","endyear",9,9,1
"79","givenname",9,9,1
"80","logger",9,3,1
"81","mass",9,1,1
"82","middlename",9,9,1
"83","node",9,8,2
"84","orcid",9,9,1
"85","role",9,9,1
"86","surname",9,9,1
"87","volume",9,2,2
"88","avgd13ch4_permil",8,7,1
"89","bryophytes",8,2,1
"90","estimated",8,2,1
"91","lagoon",8,7,1
"92","lon",8,3,3
"93","material",8,4,3
"94","note",8,3,3
"95","range",8,3,3
"96","season",8,7,1
"97","station_sampling_priority",8,7,1
"98","stdevd13ch4_permil",8,6,1
"99","surface",8,5,3
"100","temperature",8,4,3
"101","thaw",8,3,1
"102","vegetation",8,2,1
"103","wedge",8,1,1
"104","date_collected",7,6,1
