identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,viewURL,query_datetime_utc,assigned_valueURI,prefName,ontoName,package_type,child_rm,parent_rm,parent_metadata_pid
doi:10.18739/A23B5W786,Station_table_DBO3.csv,Latitude,NA,latitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A23B5W786,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A23B5W786,DBO_Station_Coordinates.csv,Latitude,NA,latitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A23B5W786,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A23B5W82R,D2013_2016.csv,Latitude,NA,Latitude (N),degree,https://search.dataone.org/view/doi:10.18739/A23B5W82R,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A23J39198,smtmwrlosX1.a1.20150101.000001.cdf,lat,NA,North Latitude,degree,https://search.dataone.org/view/doi:10.18739/A23J39198,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A23R0PT8K,smtpossX1.c1.20100915.193700.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A23R0PT8K,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A23R0PT2P,Station_table_DBO5.csv,Latitude,NA,latitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A23R0PT2P,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A23R0PT2P,DBO_Station_Coordinates.csv,Latitude,NA,latitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A23R0PT2P,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A2000012K,smtpossX1.c1.20170117.000100.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A2000012K,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A2000012K,smtpossX1.c1.20170101.000100.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A2000012K,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
doi:10.18739/A20P0WQ9K,Station_table_DBO5.csv,Latitude,NA,latitude,dimensionless,https://search.dataone.org/view/doi:10.18739/A20P0WQ9K,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,MULTINESTING,NA,NA,NA
