identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,viewURL,query_datetime_utc,assigned_valueURI,prefName,ontoName,package_type,child_rm,parent_rm,parent_metadata_pid
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Runoff from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Baseflow from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Snow water equivalent from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,"Soil temperatures from North Slope basins, model estimates, 1980-2010",latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,Model domain definition,latitude,Latitude,"Latitude at center of model grid cell. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,GHAAS basins modelled,latitude,Latitude,"Latitude at center of the model grid cell representing the basin outlet at the coast. Coordinates based on EASE-Grid 1.0, Northern Hemisphere, EPSG:3408.",degree,https://search.dataone.org/view/urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
urn:uuid:fc2541a0-2669-4f16-aeb6-4022ca56928d,"Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing",latitude,Latitude,"Latitude in decimal degrees. Note that due to field conditions, sampling is not always carried out at these exact coordinates, but in close vicinity of the station.",degree,https://search.dataone.org/view/urn:uuid:fc2541a0-2669-4f16-aeb6-4022ca56928d,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,EC,NA,NA
doi:10.18739/A26T0GX06,Healy_July2013_MMWatchData_colorRegions_format_dp.csv,LAT,NA,Latitude in decimal degrees,degree,https://search.dataone.org/view/doi:10.18739/A26T0GX06,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
doi:10.18739/A26T0GX06,Healy_Aug2012_MMWatchData_colorRegions_format_dp.csv,LAT,NA,Latitude in decimal degrees,degree,https://search.dataone.org/view/doi:10.18739/A26T0GX06,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
doi:10.18739/A2736M31X,siteinfo.csv,lat,Latitude,Decimal degree latitude of the study location provided by data contributor. All values are north of the equator.,degree,https://search.dataone.org/view/doi:10.18739/A2736M31X,2020-10-12T16:44:43Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,standalone,NA,NA,NA
