identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,viewURL,query_datetime_utc,assigned_valueURI,prefName,ontoName,package_type,child_rm,parent_rm,parent_metadata_pid
doi:10.18739/A23F4KN90,smtceilX1_b1_20200309_000014.nc,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A23F4KN90,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A23X83M2Q,smtmplpolX1.a1.20120101.000000.cdf,lat,NA,North latitude.,degree,https://search.dataone.org/view/doi:10.18739/A23X83M2Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2057CS9R,smtmplpolX1.a1.20130101.000000.cdf,lat,NA,North latitude.,degree,https://search.dataone.org/view/doi:10.18739/A2057CS9R,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A20P0WR53,smtsondewnpnX1_b1_20190225_231722.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A20P0WR53,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A20R9M45T,smtvceil25kX1.b1.20110503.000008.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A20R9M45T,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A20Z70X4H,smtaerich1X1.b1.20110101.000307.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A20Z70X4H,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A20Z70X4H,smtaerich1X1.b1.20110101.000307.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A20Z70X4H,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A20Z70X4H,smtaerisummaryX1.b1.20110101.000307.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A20Z70X4H,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A20Z70X4H,smtaerisummaryX1.b1.20110101.000307.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A20Z70X4H,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A22N4ZJ4J,smtmmcrmomX1.b1.20120409.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A22N4ZJ4J,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A22R3NX6C,smtcapablX1.c1.20161118.000037.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A22R3NX6C,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A21G0HV73,smtmwrlosX1.a1.20180515.000000.cdf,lat,NA,North Latitude,degree,https://search.dataone.org/view/doi:10.18739/A21G0HV73,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A21Z41T4R,smtaerich1X1.b1.20130101.000349.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A21Z41T4R,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A21Z41T4R,smtaerich1X1.b1.20130101.000349.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A21Z41T4R,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A27H1DN2B,smtpossX1.c1.20160101.000100.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A27H1DN2B,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A24Q7QQ88,smtaerich1X1.b1.20140101.000330.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A24Q7QQ88,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A24Q7QQ88,smtaerich1X1.b1.20140101.000330.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A24Q7QQ88,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A25Q4RM71,smtaerich1X1.b1.20150101.000341.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A25Q4RM71,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A25Q4RM71,smtaerich1X1.b1.20150101.000341.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A25Q4RM71,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A27940V24,smtmwrlosX1.a1.20100713.000001.cdf,lat,NA,North Latitude,degree,https://search.dataone.org/view/doi:10.18739/A27940V24,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A28911R3V,smtvceil25kX1.b1.20100704.000015.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A28911R3V,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2862BC30,smtmplpolX1_a1_20191016_000000.cdf,lat,NA,North latitude.,degree,https://search.dataone.org/view/doi:10.18739/A2862BC30,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A28G8FJ21,smtaerich1X1.b1.20110701.000314.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A28G8FJ21,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A28G8FJ21,smtaerich1X1.b1.20110701.000314.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A28G8FJ21,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A28G8FJ21,smtaerisummaryX1.b1.20110701.000314.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A28G8FJ21,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A28G8FJ21,smtaerisummaryX1.b1.20110701.000314.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A28G8FJ21,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2901ZG63,smtcapablX1.c1.20180303.000104.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A2901ZG63,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2959C81Q,smtsodarX1.a1.20140101.000000.cdf,lat,NA,North latitiude,degree,https://search.dataone.org/view/doi:10.18739/A2959C81Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A29G5GF09,smtaerich1X1.b1.20120701.000318.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A29G5GF09,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A29G5GF09,smtaerich1X1.b1.20120701.000318.cdf,Latitude,NA,Observation latitude,degree,https://search.dataone.org/view/doi:10.18739/A29G5GF09,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A29Z90C6V,smtmplpolX1.a1.20180114.000000.cdf,lat,NA,North latitude.,degree,https://search.dataone.org/view/doi:10.18739/A29Z90C6V,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2CZ3256B,smtsodarX1_a1_20200105_000000.cdf,lat,NA,North latitiude,degree,https://search.dataone.org/view/doi:10.18739/A2CZ3256B,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2B853J5R,smtcapablX1.c1.20170120.000045.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A2B853J5R,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2B853J5R,smtcapablX1.c1.20170101.000048.cdf,lat,NA,North latitude,degree,https://search.dataone.org/view/doi:10.18739/A2B853J5R,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2B27PR74,smtmplpolX1.a1.20100601.000000.cdf,lat,NA,North latitude.,degree,https://search.dataone.org/view/doi:10.18739/A2B27PR74,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2B27PR93,smtmmcrmomX1.b1.20100601.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2B27PR93,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
