child_rm,parent_rm,parent_metadata_pid
resource_map_doi:10.18739/A2Q814T07,resource_map_doi:10.18739/A24Q7QR0V,doi:10.18739/A24Q7QR0V
resource_map_doi:10.18739/A2DJ58H67,resource_map_doi:10.18739/A24Q7QR0V,doi:10.18739/A24Q7QR0V
resource_map_doi:10.18739/A2P26Q457,resource_map_doi:10.18739/A24Q7QR0V,doi:10.18739/A24Q7QR0V
resource_map_doi:10.18739/A2V11VM3H,resource_map_doi:10.18739/A24Q7QR0V,doi:10.18739/A24Q7QR0V
resource_map_doi:10.18739/A28G8FJ40,resource_map_doi:10.18739/A24Q7QR0V,doi:10.18739/A24Q7QR0V
resource_map_doi:10.18739/A2ZS2KD7B,resource_map_doi:10.18739/A24Q7QR0V,doi:10.18739/A24Q7QR0V
resource_map_doi:10.18739/A2J960B1G,resource_map_doi:10.18739/A24Q7QR0V,doi:10.18739/A24Q7QR0V
resource_map_doi:10.18739/A2BN7G,resource_map_doi:10.18739/A23X83M55,doi:10.18739/A23X83M55
resource_map_doi:10.18739/A2M53M,resource_map_doi:10.18739/A23X83M55,doi:10.18739/A23X83M55
resource_map_doi:10.18739/A2QV6K,resource_map_doi:10.18739/A23X83M55,doi:10.18739/A23X83M55
resource_map_doi:10.18739/A2GC1P,resource_map_doi:10.18739/A23X83M55,doi:10.18739/A23X83M55
resource_map_doi:10.18739/A20C1B,resource_map_doi:10.18739/A23X83M55,doi:10.18739/A23X83M55
resource_map_doi:10.18739/A2354B,resource_map_doi:10.18739/A23X83M55,doi:10.18739/A23X83M55
resource_map_doi:10.18739/A2VK0S,resource_map_doi:10.18739/A23X83M55,doi:10.18739/A23X83M55
resource_map_urn:uuid:7680baab-121e-4d0c-9794-9d79c6c2ea1c,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:a011bce6-0f7c-40b3-a4bc-4cdde70c24d1,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:6ebc1ed6-f6e4-4d6f-9477-11ba99281fd5,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:4af2218d-19e7-4911-9b3f-ba2fad49f1fc,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:bc03639c-7ab1-4dce-b6fe-7ac9fe096dc3,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:3c73249a-a1c8-4454-8fc0-1b6b18c5ed52,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:1321a59f-261e-4b00-a3e1-d20df81312c0,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:abd8705f-c26a-409e-a1f1-2d3ccc711da6,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:7fad16ae-c6e4-481f-b1e8-74e0dba968f4,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:f8ed7bf0-f549-4a03-88dd-2eccde427902,resource_map_doi:10.18739/A20863623,doi:10.18739/A20863623
resource_map_urn:uuid:562b0057-1778-4342-b2df-d714507f0f63,resource_map_doi:10.18739/A20C4SK70,doi:10.18739/A20C4SK70
resource_map_urn:uuid:a0c4b34e-122b-4ca3-a403-66bdb3397853,resource_map_doi:10.18739/A20C4SK70,doi:10.18739/A20C4SK70
resource_map_doi:10.18739/A2FC7N,resource_map_doi:10.18739/A20C4SK70,doi:10.18739/A20C4SK70
resource_map_doi:10.18739/A29K63,resource_map_doi:10.18739/A20C4SK70,doi:10.18739/A20C4SK70
resource_map_doi:10.18739/A2PW3G,resource_map_doi:10.18739/A20C4SK70,doi:10.18739/A20C4SK70
resource_map_doi:10.18739/A25W2F,resource_map_doi:10.18739/A20C4SK70,doi:10.18739/A20C4SK70
urn:uuid:d68dacb3-f832-4627-8764-e48f4b378b75,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2TC25,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2Z543,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A29G0S,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A25N89,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2PN9B,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A22V6P,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2JV8S,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2BC1F,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A26N90,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2G54R,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A21Z51,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2KV6B,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2SG04,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2X53D,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2VC13,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A23V60,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_doi:10.18739/A2F532,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
