identifier,author,title,keywords,abstract,datePublished,dateUploaded
urn:uuid:f3d9d431-9bc2-4be1-89e4-c9e45b8e786b,Miles McPhee,"Ice Camp (PRELIMINARY) CTD cast data. (ASCII) (PSC) [McPhee, M.]",CTD ocean cast Oceanography Arctic,"This data set contains PRELIMINARY data from conductivity, temperature and depth (CTD) casts taken at the Ice Station. Parameters include pressure, temperature, conductivity and salinity. Data are ASCII text of CTD casts from selected days.",2007-11-02T09:33:50Z,2017-06-21T16:39:35Z
doi:10.18739/A2SC4M,Larry Mayer,"SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, October 1 - 2, 2014",Instruments/Sensors>EK80>Broadband Watercolumn Acoustic Data Instruments/Sensors>EK80>Broadband Acoustic Watercolum Data,"The contributed data represents watercolumn backscatter data collected with a Simrad EK80 Wide-band Transceiver (WBT) transmitting through a Simrad ES18-11 scientific split-beam echosounder on the Icebreaker Oden during Leg 2 of the SWERUS-C3 2014 expedition (Swedish-Russian-US Arctic Ocean Investigation of Climate-Cryosphere-Carbon Interactions). The EK80 WBT was installed by UNH on the Oden especially for this program. The data were collected over a band of approximately 16 - 29 kHz providing extremely high resolution imagery of the water column that has allowed us to distinguish individual bubbles at methane gas seeps and fine-scale structure, including thermohaline steps, in the water column.  Files are named according to the format: ODEN-{Date}-{Time}.raw. ""ODEN"" indicates that the measurements were taken on the Icebreaker Oden. {Date} corresponds to the date that this 24-hour cycle of measurements concluded and {Time} is the number of hours, minutes, and seconds (in this format: HHMMSS) since this cycle of measurements began. For example, ""ODEN-D20140903-T192153.raw"" contains data recorded from the Icebreaker Oden taken during the 2014-09-03 cycle 19:21:53 after the cycle began.",2018-04-11T07:00:00Z,2018-05-02T22:36:03Z
doi:10.18739/A2SX64880,Claire Treat,"Growing season, non-growing season and annual methane (CH4) fluxes from temperate, boreal, and Arctic wetlands and uplands (synthesis), 1989-2016",methane alpine/tundra peatlands wetlands,"Wetlands are the single largest natural source of atmospheric methane (CH4), a greenhouse gas, and occur extensively in the northern hemisphere. Large discrepancies remain between bottom-up and top-down estimates of northern CH4 emissions. To explore whether these discrepancies are due to poor representation of non-growing season CH4 emissions, we synthesized non-growing season and annual CH4 flux measurements from temperate, boreal, and tundra wetlands and uplands. Median non-growing season wetland emissions ranged from 0.9 g/m² in bogs to 5.2 g/m² in marshes and were dependent on moisture, vegetation, and permafrost. Annual wetland emissions ranged from 0.9 g/m²/y in tundra bogs to 78 g/m²/y in temperate marshes. Uplands varied from CH4 sinks to CH4 sources with a median annual flux of 0.0 ± 0.2 g/m²/y. The measured fraction of annual CH4 emissions during the non-growing season (observed: 13 to 47%) was significantly larger than was predicted by two process-based model ensembles, especially between 40-60º N (modeled: 4 to 17%). Constraining the model ensembles with the measured non-growing fraction increased total non-growing season and annual CH4 emissions. Using this constraint, the modeled non-growing season wetland CH4 flux from > 40° north was 6.1 ± 1.5 Tg/y, three times greater than the non-growing season emissions of the unconstrained model ensemble. The annual wetland CH4 flux was 37 ± 7 Tg/y from the data-constrained model ensemble, 25% larger than the unconstrained ensemble. Considering non-growing season processes is critical for accurately estimating CH4 emissions from high latitude ecosystems, and necessary for constraining the role of wetland emissions in a warming climate. This dataset contains the synthesis of measured flux data from the study.",2018-01-01T08:00:00Z,2018-10-29T18:18:49Z
doi:10.18739/A2J87J,Larry Mayer,"SWERUS-C3 Expedition EK80 sonar data, Eastern Siberian Arctic margin, September 13 - 15, 2014",Instruments/Sensors>EK80>Broadband Watercolumn Acoustic Data Instruments/Sensors>EK80>Broadband Acoustic Watercolum Data,"The contributed data represents watercolumn backscatter data collected with a Simrad EK80 Wide-band Transceiver (WBT) transmitting through a Simrad ES18-11 scientific split-beam echosounder on the Icebreaker Oden during Leg 2 of the SWERUS-C3 2014 expedition (Swedish-Russian-US Arctic Ocean Investigation of Climate-Cryosphere-Carbon Interactions). The EK80 WBT was installed by UNH on the Oden especially for this program. The data were collected over a band of approximately 16 - 29 kHz providing extremely high resolution imagery of the water column that has allowed us to distinguish individual bubbles at methane gas seeps and fine-scale structure, including thermohaline steps, in the water column.  Files are named according to the format: ODEN-{Date}-{Time}.raw. ""ODEN"" indicates that the measurements were taken on the Icebreaker Oden. {Date} corresponds to the date that this 24-hour cycle of measurements concluded and {Time} is the number of hours, minutes, and seconds (in this format: HHMMSS) since this cycle of measurements began. For example, ""ODEN-D20140903-T192153.raw"" contains data recorded from the Icebreaker Oden taken during the 2014-09-03 cycle 19:21:53 after the cycle began.",2018-04-11T07:00:00Z,2018-05-01T22:35:34Z
doi:10.18739/A2D667,Matthew Shupe,"Cloud-scale turbulent dissipation rate, 2002",turbulence cloud types vertical pointing radar Alaska Arctic,"This product includes netCDF files that contain time-height fields of retrieved in-cloud turbulent dissipation rate retrieved from vertically-pointing, Ka-band cloud radar and supporting measurements. These data are used to determine the vertical extent and magnitude of cloud-driven atmospheric mixing and specifically the based of the cloud-driven mixed layer, which might be at the surface. Additionally, the data set includes information on cloud/hydrometeor base and top, vertical wind profiles, and cloud liquid and ice water paths. Files are available for most of 2000-2008. All measurement data from from the US Department of Energy Atmospheric Radiation Measurement (ARM) Program : North Slope of Alaska (NSA) site in Barrow, Alaska. The data set time period may be expanded in the future.",2016-10-05T07:00:00Z,2016-10-14T23:45:54Z
doi:10.18739/A2C090,Kathleen M Stafford,Passive acoustic data from A4 in the Bering Strait for November 2014,ambient noise hydrophone mooring,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 65.75 N latitude and 168.25 W longitude. Data were recorded from 10 Hz - 4096 Hz (8 kHz sample rate) the first 20 minutes of each hour from July 2014- July 2015.,2016-04-14T07:00:00Z,2017-01-23T18:18:53Z
doi:10.18739/A2W29B,Steven Oberbauer,"Mobile Instrumented Sensor Platform (MISP) spectroradiometer data, Imnaviat, Alaska, 2015",NA,"The International Tundra Experiment (ITEX) was chartered in 1990 to
                                 test the effects of increased temperature on tundra plant phenology,
                                 growth, species composition and ecosystem function. Since 2007, the
                                 ITEX-Arctic Observatory Network (ITEX-AON) has continued and expanded
                                 on the ITEX program across a latitudinal transect of five sites in
                                 Alaska and Greenland, collecting core ITEX data specifically designed
                                 to address the current needs outlined in the Study of Environmental
                                 Arctic Change (SEARCH) Implementation Report. The goal of this effort
                                 is to maintain the continuity of the temporally-critical datasets of
                                 the ITEX-AON in Alaska and Greenland. Core datasets include the
                                 long-term manual observations of phenology, vegetation structure and
                                 composition, ecosystem function, and surface properties on the
                                 long-term ITEX control and experimental warming plots, repeat
                                 measurement of the vegetation plots on the 1
                                 km 2 Arctic Systems Science (ARCSS) grids, and a multifactor
                                 warming-moisture experiment in Greenland. The simultaneous measurement
                                 of multiple surface properties at the small scale has allowed
                                 detection of relationships not previously recognized, e.g., in
                                 moss-dominated areas of the intensive transects, higher albedo is
                                 linked to higher temperatures.  This data package includes spectroradiometer data from the Mobile Instrumented Sensor Platform (MISP), formerly known as the Networked Info-mechanical Systems (NIMS).",2018-03-29T07:00:00Z,2018-05-04T18:47:06Z
urn:uuid:e9a67af1-8735-4ad0-8a0f-e0c271521fb6,Amanda H. Lynch,Council Climate NCAR ISS RASS Virtual Temperatures (ASCII),"RASS,NCAR/ISS Arctic Sounding climatologyMeteorologyAtmosphere","This dataset contains rawinsonde profiles collected from Council, Seward Peninsula, Tundra Site (C2) during Arctic Transitions in the Land-Atmosphere System (ATLAS) program 1999 summer field campaign. Profiles were collected by National Center for Atmospheric Research (NCAR) Atmospheric Technology Division (ATD) using NCAR's Integrated Sounding System (ISS) using Vaisala hardware. Sounding files consist of vertical profiles of pressure, temperature, dew point, relative humidity, wind speed and direction, u and v wind components, altitude, and position (latitude and longitude) measured every second during balloon's ascent. Rawinsonde data is available on the following days: July 23,24,27-31, and August 2-9, and 11. Consult the README for more information.",NA,2016-06-13T20:29:28Z
urn:uuid:34401a51-4a54-4621-9273-1e26f436332a,NA,Aircraft NCAR C-130 High-rate Data (netCDF) [NCAR/RAF],"Aircraft, NSF/NCAR C-130 Aircraft Arctic",High-rate data in netCDF format is available here for each flight of the NCAR C-130 that occurred during the SHEBA project (16 flights total) in the spring and summer of 1998. The following is a list of research flight numbers and corresponding dates/times: (rf01a 1846 5/4/98 - 0017 5/5) (rf01b 0036 5/5 - 0350 5/5) (rf02 1849 5/7 - 0220 5/8) (rf03 1808 5/11 - 0312 5/12) (rf04 1824 5/15 - 0256 5/16) (rf05 1652 5/18 - 0330 5/19) (rf06 1655 5/20 - 0300 5/21) (rf07 1653 5/24 - 0327 5/25) (rf08 1652 5/27 - 0312 5/28) (rf09 1630 7/8 - 0318 7/9) (rf10 1658 7/15 - 0250 7/16) (rf11 1635 7/18 - 0335 7/19) (rf12 1608 7/21 - 0254 7/22) (rf13 1627 7/23 - 0332 7/24) (rf14 1547 7/26 - 0004 7/27) (rf15 1556 7/28 - 0003 7/29) (rf16 1658 7/29 - 0004 7/30). The SHEBA C-130 dataset documentation (most of the materials made available in the previously-released data notebooks) have been put on-line via the NCAR RAF Web site. This will enable all users of the data to access the most critical documentation and data quality materials and to assemble their own copies of the documentation package. This documentation web site may be reached by selecting the data set named SHEBA: Aircraft NCAR C-130 Documentation and Data Quality Materials.,2009-06-23T08:57:45Z,2017-06-21T17:46:04Z
doi:10.18739/A2N07Q,Kathleen M Stafford,Passive acoustic data from A3 in the Bering Strait 13 of 17 (140312_180000_AU_BS03.wav to 140423_080000_AU_BS03.wav),EARTH SCIENCE > OCEANS > OCEAN ACOUSTICS > AMBIENT NOISE IN SITU/LABORATORY INSTRUMENTS > PROFILERS/SOUNDERS > ACOUSTIC SOUNDERS > HYDROPHONES MOORING POINT 1 MINUTE TO 1 HOUR biota oceans,Passive acoustic data from instruments on moorings in the Bering Strait region. The data for this instrument were collected at 66.76 N latitude and 168.95 W longitude. Data were recorded from 10 Hz - 8192 Hz (16 kHz sample rate) the first 10 minutes of each hour from September 2012-May 2013 and July 2013-July 2014,2014-10-07T07:00:00Z,2016-09-21T01:34:45Z
