"","identifier","valueURI","attributeName","attributeDefinition"
"1","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"2","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"3","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"4","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"5","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"6","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"7","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"8","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"9","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"10","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"11","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"12","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"13","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"14","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"15","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"16","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"17","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"18","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"19","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"20","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"21","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"22","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"23","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"24","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"25","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"26","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"27","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"28","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"29","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"30","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"31","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"32","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"33","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
"34","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA1","Soil Moisture Probe Hydra Signal #1, mV"
"35","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA2","Soil Moisture Probe Hydra Signal #2, mV"
"36","doi:10.18739/A22R3NX2F","http://www.purl.dataone.org/odo/ECSO_00010077","HYDRA3","Soil Moisture Probe Hydra Signal #3, mV"
