metadataPID,num_datasets
doi:10.18739/A23B5W786,14
doi:10.18739/A23B5W82R,1
doi:10.18739/A23J39198,347
doi:10.18739/A23R0PT8K,108
doi:10.18739/A23R0PT2P,13
doi:10.18739/A2000012K,282
doi:10.18739/A20P0WQ9K,13
doi:10.18739/A22Z12Q3H,730
doi:10.18739/A21N7XM2W,514
doi:10.18739/A21N7XN49,349
doi:10.18739/A23775V7T,1
doi:10.18739/A24J09X8M,368
doi:10.18739/A24F1MJ97,96
doi:10.18739/A24F1MJ3B,14
doi:10.18739/A26H4CQ53,12
doi:10.18739/A26H4CR1M,183
doi:10.18739/A26D5PB76,361
doi:10.18739/A26D5PB19,12
doi:10.18739/A26Q1SH6S,718
doi:10.18739/A25717P1V,364
doi:10.18739/A25D8ND61,534
doi:10.18739/A25D8NF8F,366
doi:10.18739/A25D8NF2J,14
doi:10.18739/A2707WN9M,28
doi:10.18739/A2736M18D,4
doi:10.18739/A27659G3R,355
doi:10.18739/A2828C,624
doi:10.18739/A2862BB7G,13
doi:10.18739/A2CZ3250F,12
doi:10.18739/A2BZ6187K,91
doi:10.18739/A2F18SF3C,14
doi:10.18739/A2FJ29D12,1
doi:10.18739/A2G15TB3M,12
doi:10.18739/A2KH0F03F,91
doi:10.18739/A2KK94C85,365
doi:10.18739/A2KS6J47F,13
doi:10.18739/A2KS6J52G,341
doi:10.18739/A2H12V79R,361
doi:10.18739/A2HT2GB7H,12
doi:10.18739/A2JM23G13,120
doi:10.18739/A2JW86N61,436
doi:10.18739/A2JS9H776,16
doi:10.18739/A2K931656,1
doi:10.18739/A2NC5SD0N,194
doi:10.18739/A2NC64,901
doi:10.18739/A2NK36518,14
doi:10.18739/A2MC8RH0D,91
doi:10.18739/A2MS3K17P,10
doi:10.18739/A2PC2T85V,38
doi:10.18739/A2PC2T81X,1
doi:10.18739/A2R49G89H,11
doi:10.18739/A2R49G94J,236
doi:10.18739/A2Q23R08G,1
doi:10.18739/A2QB9V62J,63
doi:10.18739/A2QJ77Z1S,10
doi:10.18739/A2S46H658,321
doi:10.18739/A2T43J290,23
doi:10.18739/A2TT4FT4G,1
doi:10.18739/A2V698C6J,104
doi:10.18739/A2VD6P558,370
doi:10.18739/A2VX0639D,117
doi:10.18739/A2VX0633H,11
doi:10.18739/A2W66988R,361
doi:10.18739/A2ZG6G72V,1
doi:10.18739/A2ZK55M74,1
doi:10.18739/A2TX35587,2
doi:10.18739/A2XD0QX2F,7
doi:10.18739/A2XS5JG5P,6
doi:10.18739/A2ZP3W02M,2
doi:10.18739/A20V89H7N,73
doi:10.18739/A22664,337
doi:10.18739/A2396G,320
doi:10.18739/A27W9Q,357
doi:10.18739/A24674,175
doi:10.18739/A24M91B2W,59
doi:10.18739/A29W9B,344
doi:10.18739/A2CQ2K,359
doi:10.18739/A2BT1X,364
doi:10.18739/A2GM3V,306
doi:10.18739/A2FM25,360
