metadataPID,num_datasets
urn:uuid:03605990-ab2e-4f45-ad74-9a9a8aadcf58,8
urn:uuid:18e0ba78-9c6b-4e1a-b102-4cb041f71248,2
urn:uuid:399d4023-325a-4308-93aa-f232f8cb1d54,8
urn:uuid:7c42aa47-679d-4224-8feb-4fbaa8016369,6
urn:uuid:4fb15af1-5077-400e-a0e7-e52366d8b6f7,4
urn:uuid:57894fad-9a1b-43b1-9255-d413b2b3f0b5,4
urn:uuid:5eaf5f6a-6d70-4b6c-8efc-c7b689485d0d,1
urn:uuid:9a4061c3-975e-4a03-bb2c-c5b6ab5b949b,8
urn:uuid:b7d3ec59-a575-449b-a134-e997590ffd62,4
urn:uuid:e91aa052-45e0-43a3-a199-4bbafbd992e5,2
urn:uuid:0b548a56-aff5-48c6-ae8d-0bc94d954ed1,50
urn:uuid:d5243503-9ffe-42e8-b5b1-330edc000cdd,64
urn:uuid:3c55fe83-77a8-4631-8f03-62f49eced59d,4
urn:uuid:2ac51da5-605e-43a1-9749-9bce30af0c5f,5
