metadataPID,num_datasets,update_cat
doi:10.18739/A26T0GX06,14,standaloneDOI
doi:10.18739/A2736M31X,6,standaloneDOI
doi:10.18739/A29882N5H,7,standaloneDOI
doi:10.18739/A2NV99B09,5,standaloneDOI
doi:10.18739/A2M61BQ8M,17,standaloneDOI
doi:10.18739/A2PN8XG4B,3,standaloneDOI
doi:10.18739/A2V97ZR7H,153,standaloneDOI
doi:10.18739/A2VM42Z20,19,standaloneDOI
doi:10.18739/A23J3912W,2,standaloneDOI
doi:10.18739/A2028PD2H,1,standaloneDOI
doi:10.18739/A20P0WR0P,19,standaloneDOI
doi:10.18739/A20P0WR15,4,standaloneDOI
doi:10.18739/A20R9M47S,25,standaloneDOI
doi:10.18739/A20R9M42C,26,standaloneDOI
doi:10.18739/A20V89J16,17,standaloneDOI
doi:10.18739/A22B8VC2H,3,standaloneDOI
doi:10.18739/A22F7JR7S,12,standaloneDOI
doi:10.18739/A23775W1C,10,standaloneDOI
doi:10.18739/A2319S316,4,standaloneDOI
doi:10.18739/A27M0409J,3,standaloneDOI
doi:10.18739/A2416T02X,3,standaloneDOI
doi:10.18739/A24J09X6N,94,standaloneDOI
doi:10.18739/A24Q7QP6V,2,standaloneDOI
doi:10.18739/A26688J9Z,1,standaloneDOI
doi:10.18739/A26H4CQ72,5,standaloneDOI
doi:10.18739/A26W9688B,680,standaloneDOI
doi:10.18739/A25717P2B,1,standaloneDOI
doi:10.18739/A2513TW2R,103,standaloneDOI
doi:10.18739/A2599Z26M,17,standaloneDOI
doi:10.18739/A25H7BV1C,6,standaloneDOI
doi:10.18739/A25Q4RM33,14,standaloneDOI
doi:10.18739/A2707WP4N,2,standaloneDOI
doi:10.18739/A27659G5Q,49,standaloneDOI
doi:10.18739/A2804XK1F,2,standaloneDOI
doi:10.18739/A28911R1W,95,standaloneDOI
doi:10.18739/A2862BC0J,1,standaloneDOI
doi:10.18739/A28S4JP6K,35,standaloneDOI
doi:10.18739/A2930NV5G,19,standaloneDOI
doi:10.18739/A29G5GD58,52,standaloneDOI
doi:10.18739/A29P2W65G,68,standaloneDOI
doi:10.18739/A2CN6Z03F,1,standaloneDOI
doi:10.18739/A2CF9J675,3,standaloneDOI
doi:10.18739/A2CZ3253W,1,standaloneDOI
doi:10.18739/A2B853H78,1,standaloneDOI
doi:10.18739/A2B56D46X,2,standaloneDOI
doi:10.18739/A2B56D48W,8,standaloneDOI
doi:10.18739/A2BN9X374,2,standaloneDOI
doi:10.18739/A2C824F2J,2,standaloneDOI
doi:10.18739/A2GM81P42,25,standaloneDOI
doi:10.18739/A2GQ6R27D,1,standaloneDOI
doi:10.18739/A2GQ6R33X,300,standaloneDOI
doi:10.18739/A2GT5FG0B,73,standaloneDOI
doi:10.18739/A2DB7VQ2Q,2,standaloneDOI
doi:10.18739/A2DJ58H0B,2,standaloneDOI
doi:10.18739/A2DF71,142,standaloneDOI
doi:10.18739/A2DR2P85H,1,standaloneDOI
doi:10.18739/A2DZ0320P,3,standaloneDOI
doi:10.18739/A2DV1CN7B,5,standaloneDOI
doi:10.18739/A2FX73Z1F,2,standaloneDOI
doi:10.18739/A2KD1QK3Q,2,standaloneDOI
doi:10.18739/A2H708100,4,standaloneDOI
doi:10.18739/A2H12V769,2,standaloneDOI
doi:10.18739/A2H12V80V,70,standaloneDOI
doi:10.18739/A2HH6C58X,2,standaloneDOI
doi:10.18739/A2HD7NS8N,2,standaloneDOI
doi:10.18739/A2J09W47G,1,standaloneDOI
doi:10.18739/A2J96095Z,3,standaloneDOI
doi:10.18739/A2JM23H02,5,standaloneDOI
doi:10.18739/A2K06X08R,5,standaloneDOI
doi:10.18739/A2K35MF33,64,standaloneDOI
doi:10.18739/A2N00ZT7S,2,standaloneDOI
doi:10.18739/A2N29P63K,2,standaloneDOI
doi:10.18739/A2NS0KX9G,2,standaloneDOI
doi:10.18739/A2NZ80Q43,3,standaloneDOI
doi:10.18739/A2NV99B1S,12,standaloneDOI
