metadataPID,num_datasets
doi:10.18739/A26T0GX06,14
doi:10.18739/A2736M31X,6
doi:10.18739/A29882N5H,7
doi:10.18739/A2NV99B09,5
doi:10.18739/A2M61BQ8M,17
doi:10.18739/A2PN8XG4B,3
doi:10.18739/A2V97ZR7H,153
doi:10.18739/A2VM42Z20,19
doi:10.18739/A23J3912W,2
doi:10.18739/A2028PD2H,1
doi:10.18739/A20P0WR0P,19
doi:10.18739/A20P0WR15,4
doi:10.18739/A20R9M47S,25
doi:10.18739/A20R9M42C,26
doi:10.18739/A20V89J16,17
doi:10.18739/A22B8VC2H,3
doi:10.18739/A22F7JR7S,12
doi:10.18739/A23775W1C,10
doi:10.18739/A2319S316,4
doi:10.18739/A27M0409J,3
doi:10.18739/A2416T02X,3
doi:10.18739/A24J09X6N,94
doi:10.18739/A24Q7QP6V,2
doi:10.18739/A26688J9Z,1
doi:10.18739/A26H4CQ72,5
doi:10.18739/A26W9688B,680
doi:10.18739/A25717P2B,1
doi:10.18739/A2513TW2R,103
doi:10.18739/A2599Z26M,17
doi:10.18739/A25H7BV1C,6
doi:10.18739/A25Q4RM33,14
doi:10.18739/A2707WP4N,2
doi:10.18739/A27659G5Q,49
doi:10.18739/A2804XK1F,2
doi:10.18739/A28911R1W,95
doi:10.18739/A2862BC0J,1
doi:10.18739/A28S4JP6K,35
doi:10.18739/A2930NV5G,19
doi:10.18739/A29G5GD58,52
doi:10.18739/A29P2W65G,68
doi:10.18739/A2CN6Z03F,1
doi:10.18739/A2CF9J675,3
doi:10.18739/A2CZ3253W,1
doi:10.18739/A2B853H78,1
doi:10.18739/A2B56D46X,2
doi:10.18739/A2B56D48W,8
doi:10.18739/A2BN9X374,2
doi:10.18739/A2C824F2J,2
doi:10.18739/A2GM81P42,25
doi:10.18739/A2GQ6R27D,1
doi:10.18739/A2GQ6R33X,300
doi:10.18739/A2GT5FG0B,73
doi:10.18739/A2DB7VQ2Q,2
doi:10.18739/A2DJ58H0B,2
doi:10.18739/A2DF71,142
doi:10.18739/A2DR2P85H,1
doi:10.18739/A2DZ0320P,3
doi:10.18739/A2DV1CN7B,5
doi:10.18739/A2FX73Z1F,2
doi:10.18739/A2KD1QK3Q,2
doi:10.18739/A2H708100,4
doi:10.18739/A2H12V769,2
doi:10.18739/A2H12V80V,70
doi:10.18739/A2HH6C58X,2
doi:10.18739/A2HD7NS8N,2
doi:10.18739/A2J09W47G,1
doi:10.18739/A2J96095Z,3
doi:10.18739/A2JM23H02,5
doi:10.18739/A2K06X08R,5
doi:10.18739/A2K35MF33,64
doi:10.18739/A2N00ZT7S,2
doi:10.18739/A2N29P63K,2
doi:10.18739/A2NS0KX9G,2
doi:10.18739/A2NZ80Q43,3
doi:10.18739/A2NV99B1S,12
doi:10.18739/A2M03XX3M,4
doi:10.18739/A2M90236X,5
doi:10.18739/A2MG7FW27,1
doi:10.18739/A2MP4VP1Z,3
doi:10.18739/A2MS3K24P,2
doi:10.18739/A2SJ19R94,3
doi:10.18739/A2SJ19R18,5
doi:10.18739/A2SF2MC1D,1
doi:10.18739/A2SX6499X,2
doi:10.18739/A2ST7DX28,2
doi:10.18739/A2P843W6F,14
doi:10.18739/A2P843W9W,2
doi:10.18739/A2P26Q39Q,5
doi:10.18739/A2PC2T94T,9
doi:10.18739/A2R20RW9S,17
doi:10.18739/A2RX93D9P,6
doi:10.18739/A2Q814S0S,1
