metadataPID,num_datasets
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,8
urn:uuid:fc2541a0-2669-4f16-aeb6-4022ca56928d,3
urn:uuid:bd090a42-f1f6-4dcf-95d5-5f47544acdec,8
urn:uuid:fc2541a0-2669-4f16-aeb6-4022ca56928d,3
urn:uuid:2c3d353f-9353-45c9-aeb6-d322171d6f78,1
urn:uuid:1d74e61a-ad8c-411a-a204-0b9a04ce860c,1
urn:uuid:68c94e7d-422f-4b09-8274-25e384cfef09,1
urn:uuid:56d1f42c-31d5-49e9-bea9-59a41b8045cd,3
urn:uuid:8db1b253-40d2-4ce5-a47a-057dd9ec6adc,1
urn:uuid:4a48d82c-5484-442f-85a7-8893a3231ae2,2
