"identifier","entityName","attributeName","attributeLabel","attributeDefinition","attributeUnit","viewURL","query_datetime_utc"
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","node","Station node","One of three research nodes in BLE LTER's research program",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","lagoon","Station lagoon","Lagoon where BLE LTER Core Program station is located",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","station","Station","BLE LTER Core Program station code",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","season","Sampling season","BLE LTER Core Program sampling season",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","date_collected","Date collected","Date collected YYYY-MM-DD",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","water_column_position","Water column position","Where sample was taken within water column",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","dissolved_organic_carbon_umol_L","Dissolved organic carbon","Dissolved organic carbon concentration in micromolar","microMolesPerLiter","https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","total_dissolved_nitrogen_umol_L","Total dissolved nitrogen","Total dissolved nitogen concentration in micromolar","microMolesPerLiter","https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","collection_method","Collection method","How water was collected in the field",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
"https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4","Dissolved organic carbon and total dissolved nitrogen data, 2018-ongoing","station_name","Station name","BLE LTER's Core Program station name",NA,"https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-ble/2/4",2020-10-02 08:47:39
