identifier,word1,word2,word3
doi:10.18739/A20000081,rosette,movement,NA
doi:10.18739/A20000081,movement,at,NA
doi:10.18739/A20000081,at,time,NA
doi:10.18739/A20000081,time,of,NA
doi:10.18739/A20000081,of,sampling,NA
doi:10.18739/A20000151,timestamp,of,NA
doi:10.18739/A20000151,of,sample,NA
doi:10.18739/A20000151,sample,taken,NA
doi:10.18739/A20000151,taken,in,NA
doi:10.18739/A20000151,in,epoch,NA
doi:10.18739/A20000151,epoch,time,NA
doi:10.18739/A20000151,time,approximate,NA
doi:10.18739/A20000151,approximate,flow,NA
doi:10.18739/A20000151,flow,rate,NA
doi:10.18739/A20000151,rate,setting,NA
doi:10.18739/A20000151,setting,on,NA
doi:10.18739/A20000151,on,l2130,NA
doi:10.18739/A20000151,l2130,i,NA
doi:10.18739/A20000151,i,used,NA
doi:10.18739/A20000151,used,as,NA
doi:10.18739/A20000151,as,a,NA
doi:10.18739/A20000151,a,calibration,NA
doi:10.18739/A20000151,calibration,run,NA
doi:10.18739/A20000151,run,identifier,NA
doi:10.18739/A20000151,identifier,timestamp,NA
doi:10.18739/A20000151,timestamp,when,NA
doi:10.18739/A20000151,when,sample,NA
doi:10.18739/A20000151,sample,taken,NA
doi:10.18739/A20000151,taken,in,NA
doi:10.18739/A20000151,in,epoch,NA
doi:10.18739/A20000151,epoch,time,NA
doi:10.18739/A20000151,time,approximate,NA
doi:10.18739/A20000151,approximate,flow,NA
doi:10.18739/A20000151,flow,setting,NA
doi:10.18739/A20000151,setting,on,NA
doi:10.18739/A20000151,on,l2130,NA
doi:10.18739/A20000151,l2130,i,NA
doi:10.18739/A20000151,i,for,NA
doi:10.18739/A20000151,for,standards,NA
doi:10.18739/A20000151,standards,delivery,NA
doi:10.18739/A20000151,delivery,module,NA
doi:10.18739/A20000151,module,used,NA
doi:10.18739/A20000151,used,as,NA
doi:10.18739/A20000151,as,a,NA
doi:10.18739/A20000151,a,specific,NA
doi:10.18739/A20000151,specific,calibration,NA
doi:10.18739/A20000151,calibration,run,NA
doi:10.18739/A20000151,run,identifier,NA
doi:10.18739/A20000151,identifier,datetime,NA
doi:10.18739/A20000151,datetime,end,NA
doi:10.18739/A20000151,end,of,NA
doi:10.18739/A20000151,of,10,NA
doi:10.18739/A20000151,10,min,NA
doi:10.18739/A20000151,min,aggregation,NA
doi:10.18739/A20000151,aggregation,period,NA
doi:10.18739/A20000151,period,air,NA
