identifier,word1,word2,word3
doi:10.18739/A20000081,rosette,movement,at
doi:10.18739/A20000081,movement,at,time
doi:10.18739/A20000081,at,time,of
doi:10.18739/A20000081,time,of,sampling
doi:10.18739/A20000151,timestamp,of,sample
doi:10.18739/A20000151,of,sample,taken
doi:10.18739/A20000151,sample,taken,in
doi:10.18739/A20000151,taken,in,epoch
doi:10.18739/A20000151,in,epoch,time
doi:10.18739/A20000151,epoch,time,approximate
doi:10.18739/A20000151,time,approximate,flow
doi:10.18739/A20000151,approximate,flow,rate
doi:10.18739/A20000151,flow,rate,setting
doi:10.18739/A20000151,rate,setting,on
doi:10.18739/A20000151,setting,on,l2130
doi:10.18739/A20000151,on,l2130,i
doi:10.18739/A20000151,l2130,i,used
doi:10.18739/A20000151,i,used,as
doi:10.18739/A20000151,used,as,a
doi:10.18739/A20000151,as,a,calibration
doi:10.18739/A20000151,a,calibration,run
doi:10.18739/A20000151,calibration,run,identifier
doi:10.18739/A20000151,run,identifier,timestamp
doi:10.18739/A20000151,identifier,timestamp,when
doi:10.18739/A20000151,timestamp,when,sample
doi:10.18739/A20000151,when,sample,taken
doi:10.18739/A20000151,sample,taken,in
doi:10.18739/A20000151,taken,in,epoch
doi:10.18739/A20000151,in,epoch,time
doi:10.18739/A20000151,epoch,time,approximate
doi:10.18739/A20000151,time,approximate,flow
doi:10.18739/A20000151,approximate,flow,setting
doi:10.18739/A20000151,flow,setting,on
doi:10.18739/A20000151,setting,on,l2130
doi:10.18739/A20000151,on,l2130,i
doi:10.18739/A20000151,l2130,i,for
doi:10.18739/A20000151,i,for,standards
doi:10.18739/A20000151,for,standards,delivery
doi:10.18739/A20000151,standards,delivery,module
doi:10.18739/A20000151,delivery,module,used
doi:10.18739/A20000151,module,used,as
doi:10.18739/A20000151,used,as,a
doi:10.18739/A20000151,as,a,specific
doi:10.18739/A20000151,a,specific,calibration
doi:10.18739/A20000151,specific,calibration,run
doi:10.18739/A20000151,calibration,run,identifier
doi:10.18739/A20000151,run,identifier,datetime
doi:10.18739/A20000151,identifier,datetime,end
doi:10.18739/A20000151,datetime,end,of
doi:10.18739/A20000151,end,of,10
doi:10.18739/A20000151,of,10,min
doi:10.18739/A20000151,10,min,aggregation
doi:10.18739/A20000151,min,aggregation,period
doi:10.18739/A20000151,aggregation,period,air
doi:10.18739/A20000151,period,air,temperature
doi:10.18739/A20000151,air,temperature,in
doi:10.18739/A20000151,temperature,in,degrees
doi:10.18739/A20000151,in,degrees,celsius
doi:10.18739/A20000151,degrees,celsius,measured
doi:10.18739/A20000151,celsius,measured,at
doi:10.18739/A20000151,measured,at,smt
doi:10.18739/A20000151,at,smt,weather
doi:10.18739/A20000151,smt,weather,station
doi:10.18739/A20000151,weather,station,dew
doi:10.18739/A20000151,station,dew,point
doi:10.18739/A20000151,dew,point,temperature
doi:10.18739/A20000151,point,temperature,in
doi:10.18739/A20000151,temperature,in,degrees
doi:10.18739/A20000151,in,degrees,celsius
doi:10.18739/A20000151,degrees,celsius,calculated
doi:10.18739/A20000151,celsius,calculated,from
doi:10.18739/A20000151,calculated,from,air
