identifier,word1,word2,word3
doi:10.18739/A20000081,na,NA,NA
doi:10.18739/A20000151,timestamp,NA,NA
doi:10.18739/A20000151,flow,NA,NA
doi:10.18739/A20000151,rate,NA,NA
doi:10.18739/A20000151,timestamp,NA,NA
doi:10.18739/A20000151,flow,NA,NA
doi:10.18739/A20000151,setting,NA,NA
doi:10.18739/A20000151,datetime,NA,NA
doi:10.18739/A20000151,air,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,dew,NA,NA
doi:10.18739/A20000151,point,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,relative,NA,NA
doi:10.18739/A20000151,humidity,NA,NA
doi:10.18739/A20000151,with,NA,NA
doi:10.18739/A20000151,respect,NA,NA
doi:10.18739/A20000151,to,NA,NA
doi:10.18739/A20000151,ice,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,effect,NA,NA
doi:10.18739/A20000151,residual,NA,NA
doi:10.18739/A20000151,of,NA,NA
doi:10.18739/A20000151,d18o,NA,NA
doi:10.18739/A20000151,hourly,NA,NA
doi:10.18739/A20000151,timeblock,NA,NA
doi:10.18739/A20000151,date,NA,NA
doi:10.18739/A20000151,of,NA,NA
doi:10.18739/A20000151,observation,NA,NA
doi:10.18739/A20000151,month,NA,NA
doi:10.18739/A20000151,season,NA,NA
doi:10.18739/A20000151,datetime,NA,NA
doi:10.18739/A20000151,wind,NA,NA
doi:10.18739/A20000151,azimuth,NA,NA
doi:10.18739/A20000151,katabatic,NA,NA
doi:10.18739/A20000151,deviation,NA,NA
doi:10.18739/A20000151,wind,NA,NA
doi:10.18739/A20000151,speed,NA,NA
doi:10.18739/A20000151,air,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,dew,NA,NA
doi:10.18739/A20000151,point,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,relative,NA,NA
doi:10.18739/A20000151,humidity,NA,NA
doi:10.18739/A20000151,with,NA,NA
doi:10.18739/A20000151,respect,NA,NA
doi:10.18739/A20000151,to,NA,NA
doi:10.18739/A20000151,ice,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,effect,NA,NA
doi:10.18739/A20000151,residual,NA,NA
doi:10.18739/A20000151,of,NA,NA
doi:10.18739/A20000151,d18o,NA,NA
doi:10.18739/A20000151,month,NA,NA
doi:10.18739/A20000151,season,NA,NA
doi:10.18739/A20000151,date,NA,NA
doi:10.18739/A20000151,wind,NA,NA
doi:10.18739/A20000151,azimuth,NA,NA
doi:10.18739/A20000151,katabatic,NA,NA
doi:10.18739/A20000151,deviation,NA,NA
doi:10.18739/A20000151,wind,NA,NA
doi:10.18739/A20000151,speed,NA,NA
doi:10.18739/A20000151,air,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,dew,NA,NA
doi:10.18739/A20000151,point,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,relative,NA,NA
doi:10.18739/A20000151,humidity,NA,NA
doi:10.18739/A20000151,with,NA,NA
doi:10.18739/A20000151,respect,NA,NA
doi:10.18739/A20000151,to,NA,NA
doi:10.18739/A20000151,ice,NA,NA
doi:10.18739/A20000151,residual,NA,NA
doi:10.18739/A20000151,of,NA,NA
doi:10.18739/A20000151,the,NA,NA
