identifier,word1,word2,word3
doi:10.18739/A20000081,NA,NA,NA
doi:10.18739/A20000151,timestamp,flow,NA
doi:10.18739/A20000151,flow,timestamp,NA
doi:10.18739/A20000151,timestamp,flow,NA
doi:10.18739/A20000151,flow,min10break,NA
doi:10.18739/A20000151,min10break,tavg,NA
doi:10.18739/A20000151,tavg,tdew,NA
doi:10.18739/A20000151,tdew,rh.ice,NA
doi:10.18739/A20000151,rh.ice,t.rsd,NA
doi:10.18739/A20000151,t.rsd,hrbreak,NA
doi:10.18739/A20000151,hrbreak,daybreak,NA
doi:10.18739/A20000151,daybreak,mo,NA
doi:10.18739/A20000151,mo,sn,NA
doi:10.18739/A20000151,sn,hrbreak,NA
doi:10.18739/A20000151,hrbreak,wind.az,NA
doi:10.18739/A20000151,wind.az,eness,NA
doi:10.18739/A20000151,eness,wind.sp,NA
doi:10.18739/A20000151,wind.sp,tavg,NA
doi:10.18739/A20000151,tavg,tdew,NA
doi:10.18739/A20000151,tdew,rh.ice,NA
doi:10.18739/A20000151,rh.ice,t.rsd,NA
doi:10.18739/A20000151,t.rsd,mo,NA
doi:10.18739/A20000151,mo,sn,NA
doi:10.18739/A20000151,sn,daybreak,NA
doi:10.18739/A20000151,daybreak,wind.az,NA
doi:10.18739/A20000151,wind.az,eness,NA
doi:10.18739/A20000151,eness,wind.sp,NA
doi:10.18739/A20000151,wind.sp,tavg,NA
doi:10.18739/A20000151,tavg,tdew,NA
doi:10.18739/A20000151,tdew,rh.ice,NA
doi:10.18739/A20000151,rh.ice,t.rsd,NA
doi:10.18739/A20000151,t.rsd,nao,NA
doi:10.18739/A20000151,nao,ao,NA
doi:10.18739/A20000151,ao,aao,NA
doi:10.18739/A20000151,aao,pna,NA
doi:10.18739/A20000151,pna,seaice,NA
doi:10.18739/A20000151,seaice,mo,NA
doi:10.18739/A20000151,mo,sn,NA
doi:10.18739/A2086356K,depth_n,density_n,NA
doi:10.18739/A2086356K,density_n,surfacetype,NA
doi:10.18739/A20V89H5P,mean,soil,NA
doi:10.18739/A20V89H5P,soil,temperature,NA
