identifier,word1,word2,word3
doi:10.18739/A20000081,NA,NA,NA
doi:10.18739/A20000151,timestamp,flow,timestamp
doi:10.18739/A20000151,flow,timestamp,flow
doi:10.18739/A20000151,timestamp,flow,min10break
doi:10.18739/A20000151,flow,min10break,tavg
doi:10.18739/A20000151,min10break,tavg,tdew
doi:10.18739/A20000151,tavg,tdew,rh.ice
doi:10.18739/A20000151,tdew,rh.ice,t.rsd
doi:10.18739/A20000151,rh.ice,t.rsd,hrbreak
doi:10.18739/A20000151,t.rsd,hrbreak,daybreak
doi:10.18739/A20000151,hrbreak,daybreak,mo
doi:10.18739/A20000151,daybreak,mo,sn
doi:10.18739/A20000151,mo,sn,hrbreak
doi:10.18739/A20000151,sn,hrbreak,wind.az
doi:10.18739/A20000151,hrbreak,wind.az,eness
doi:10.18739/A20000151,wind.az,eness,wind.sp
doi:10.18739/A20000151,eness,wind.sp,tavg
doi:10.18739/A20000151,wind.sp,tavg,tdew
doi:10.18739/A20000151,tavg,tdew,rh.ice
doi:10.18739/A20000151,tdew,rh.ice,t.rsd
doi:10.18739/A20000151,rh.ice,t.rsd,mo
doi:10.18739/A20000151,t.rsd,mo,sn
doi:10.18739/A20000151,mo,sn,daybreak
doi:10.18739/A20000151,sn,daybreak,wind.az
doi:10.18739/A20000151,daybreak,wind.az,eness
doi:10.18739/A20000151,wind.az,eness,wind.sp
doi:10.18739/A20000151,eness,wind.sp,tavg
doi:10.18739/A20000151,wind.sp,tavg,tdew
doi:10.18739/A20000151,tavg,tdew,rh.ice
doi:10.18739/A20000151,tdew,rh.ice,t.rsd
doi:10.18739/A20000151,rh.ice,t.rsd,nao
doi:10.18739/A20000151,t.rsd,nao,ao
doi:10.18739/A20000151,nao,ao,aao
doi:10.18739/A20000151,ao,aao,pna
doi:10.18739/A20000151,aao,pna,seaice
doi:10.18739/A20000151,pna,seaice,mo
doi:10.18739/A20000151,seaice,mo,sn
doi:10.18739/A2086356K,depth_n,density_n,surfacetype
doi:10.18739/A20V89H5P,mean,soil,temperature
doi:10.18739/A20V89H5P,soil,temperature,c
doi:10.18739/A20V89H5P,temperature,c,std
doi:10.18739/A20V89H5P,c,std,err
doi:10.18739/A20V89H5P,std,err,soil
doi:10.18739/A20V89H5P,err,soil,temperature
doi:10.18739/A20V89H5P,soil,temperature,c
doi:10.18739/A20V89H5P,temperature,c,mean
doi:10.18739/A20V89H5P,c,mean,soil
doi:10.18739/A20V89H5P,mean,soil,temperature
doi:10.18739/A20V89H5P,soil,temperature,c
doi:10.18739/A20V89H5P,temperature,c,std
doi:10.18739/A20V89H5P,c,std,err
doi:10.18739/A20V89H5P,std,err,soil
doi:10.18739/A20V89H5P,err,soil,temperature
doi:10.18739/A20V89H5P,soil,temperature,c
doi:10.18739/A20V89J2P,avgd13ch4_permil,stdevd13ch4,permil
doi:10.18739/A20V89J2P,stdevd13ch4,permil,light_lux
doi:10.18739/A21834279,growth_rate,abundance_method,standard_deviation_biovolume
doi:10.18739/A21834279,abundance_method,standard_deviation_biovolume,notes
doi:10.18739/A21G0HV2P,NA,NA,NA
doi:10.18739/A21J9776B,NA,NA,NA
doi:10.18739/A2251FK3B,date,prcp.yr,eto
doi:10.18739/A2251FK3B,prcp.yr,eto,hargreaves
doi:10.18739/A23B5W79P,NA,NA,NA
doi:10.18739/A23B5W875,trip,ctdscan_raw,ctdpres_dbar
doi:10.18739/A23B5W875,ctdscan_raw,ctdpres_dbar,ctdtemp_2
doi:10.18739/A23B5W875,ctdpres_dbar,ctdtemp_2,ctdstddev_do_1_volts
doi:10.18739/A23B5W875,ctdtemp_2,ctdstddev_do_1_volts,ctdstddev_trans
doi:10.18739/A23R0PT35,dead,current_double_banded,color_combo_different
doi:10.18739/A23R0PT35,current_double_banded,color_combo_different,band_change
doi:10.18739/A23R0PT35,color_combo_different,band_change,how_cap
doi:10.18739/A23R0PT35,band_change,how_cap,dfa_score
doi:10.18739/A23R0PT35,how_cap,dfa_score,ecotox_blood
doi:10.18739/A23R0PT35,dfa_score,ecotox_blood,immune_blood
doi:10.18739/A23R0PT35,ecotox_blood,immune_blood,radio_transmitter
doi:10.18739/A23R0PT35,immune_blood,radio_transmitter,comments
doi:10.18739/A23R0PT35,radio_transmitter,comments,dead
doi:10.18739/A23R0PT35,comments,dead,buccal
doi:10.18739/A23R0PT35,dead,buccal,color
doi:10.18739/A23R0PT35,buccal,color,gut
doi:10.18739/A23R0PT35,color,gut,radio_transmitter
doi:10.18739/A23R0PT35,gut,radio_transmitter,comments
doi:10.18739/A23R0PT35,radio_transmitter,comments,all_obs_reported
doi:10.18739/A23R0PT35,comments,all_obs_reported,comments
doi:10.18739/A23R0PT35,all_obs_reported,comments,comments
doi:10.18739/A23R0PT35,comments,comments,subsample_correction_factor
doi:10.18739/A23R0PT35,comments,subsample_correction_factor,incidental
doi:10.18739/A23R0PT35,subsample_correction_factor,incidental,comments
doi:10.18739/A23R0PT35,incidental,comments,a
doi:10.18739/A23R0PT35,comments,a,b
doi:10.18739/A23R0PT35,a,b,comments
doi:10.18739/A23R0PT35,b,comments,nwstake
doi:10.18739/A23R0PT35,comments,nwstake,notes_gps_change
doi:10.18739/A23R0PT35,nwstake,notes_gps_change,use_gps
