identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,rosette,movement,NA
doi:10.18739/A20000081,Lee W. Cooper,movement,at,NA
doi:10.18739/A20000081,Lee W. Cooper,at,time,NA
doi:10.18739/A20000081,Lee W. Cooper,time,of,NA
doi:10.18739/A20000081,Lee W. Cooper,of,sampling,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,of,NA
doi:10.18739/A20000151,Pete D. Akers,of,sample,NA
doi:10.18739/A20000151,Pete D. Akers,sample,taken,NA
doi:10.18739/A20000151,Pete D. Akers,taken,in,NA
doi:10.18739/A20000151,Pete D. Akers,in,epoch,NA
doi:10.18739/A20000151,Pete D. Akers,epoch,time,NA
doi:10.18739/A20000151,Pete D. Akers,time,approximate,NA
doi:10.18739/A20000151,Pete D. Akers,approximate,flow,NA
doi:10.18739/A20000151,Pete D. Akers,flow,rate,NA
doi:10.18739/A20000151,Pete D. Akers,rate,setting,NA
doi:10.18739/A20000151,Pete D. Akers,setting,on,NA
doi:10.18739/A20000151,Pete D. Akers,on,l2130,NA
doi:10.18739/A20000151,Pete D. Akers,l2130,i,NA
doi:10.18739/A20000151,Pete D. Akers,i,used,NA
doi:10.18739/A20000151,Pete D. Akers,used,as,NA
doi:10.18739/A20000151,Pete D. Akers,as,a,NA
doi:10.18739/A20000151,Pete D. Akers,a,calibration,NA
doi:10.18739/A20000151,Pete D. Akers,calibration,run,NA
doi:10.18739/A20000151,Pete D. Akers,run,identifier,NA
doi:10.18739/A20000151,Pete D. Akers,identifier,timestamp,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,when,NA
doi:10.18739/A20000151,Pete D. Akers,when,sample,NA
doi:10.18739/A20000151,Pete D. Akers,sample,taken,NA
doi:10.18739/A20000151,Pete D. Akers,taken,in,NA
doi:10.18739/A20000151,Pete D. Akers,in,epoch,NA
doi:10.18739/A20000151,Pete D. Akers,epoch,time,NA
doi:10.18739/A20000151,Pete D. Akers,time,approximate,NA
doi:10.18739/A20000151,Pete D. Akers,approximate,flow,NA
doi:10.18739/A20000151,Pete D. Akers,flow,setting,NA
doi:10.18739/A20000151,Pete D. Akers,setting,on,NA
doi:10.18739/A20000151,Pete D. Akers,on,l2130,NA
doi:10.18739/A20000151,Pete D. Akers,l2130,i,NA
doi:10.18739/A20000151,Pete D. Akers,i,for,NA
doi:10.18739/A20000151,Pete D. Akers,for,standards,NA
doi:10.18739/A20000151,Pete D. Akers,standards,delivery,NA
doi:10.18739/A20000151,Pete D. Akers,delivery,module,NA
doi:10.18739/A20000151,Pete D. Akers,module,used,NA
doi:10.18739/A20000151,Pete D. Akers,used,as,NA
doi:10.18739/A20000151,Pete D. Akers,as,a,NA
doi:10.18739/A20000151,Pete D. Akers,a,specific,NA
doi:10.18739/A20000151,Pete D. Akers,specific,calibration,NA
doi:10.18739/A20000151,Pete D. Akers,calibration,run,NA
doi:10.18739/A20000151,Pete D. Akers,run,identifier,NA
doi:10.18739/A20000151,Pete D. Akers,identifier,datetime,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,end,NA
doi:10.18739/A20000151,Pete D. Akers,end,of,NA
doi:10.18739/A20000151,Pete D. Akers,of,10,NA
doi:10.18739/A20000151,Pete D. Akers,10,min,NA
doi:10.18739/A20000151,Pete D. Akers,min,aggregation,NA
doi:10.18739/A20000151,Pete D. Akers,aggregation,period,NA
doi:10.18739/A20000151,Pete D. Akers,period,air,NA
doi:10.18739/A20000151,Pete D. Akers,air,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,in,NA
doi:10.18739/A20000151,Pete D. Akers,in,degrees,NA
doi:10.18739/A20000151,Pete D. Akers,degrees,celsius,NA
doi:10.18739/A20000151,Pete D. Akers,celsius,measured,NA
doi:10.18739/A20000151,Pete D. Akers,measured,at,NA
doi:10.18739/A20000151,Pete D. Akers,at,smt,NA
doi:10.18739/A20000151,Pete D. Akers,smt,weather,NA
doi:10.18739/A20000151,Pete D. Akers,weather,station,NA
doi:10.18739/A20000151,Pete D. Akers,station,dew,NA
doi:10.18739/A20000151,Pete D. Akers,dew,point,NA
doi:10.18739/A20000151,Pete D. Akers,point,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,in,NA
doi:10.18739/A20000151,Pete D. Akers,in,degrees,NA
doi:10.18739/A20000151,Pete D. Akers,degrees,celsius,NA
doi:10.18739/A20000151,Pete D. Akers,celsius,calculated,NA
doi:10.18739/A20000151,Pete D. Akers,calculated,from,NA
doi:10.18739/A20000151,Pete D. Akers,from,air,NA
doi:10.18739/A20000151,Pete D. Akers,air,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,and,NA
doi:10.18739/A20000151,Pete D. Akers,and,relative,NA
doi:10.18739/A20000151,Pete D. Akers,relative,humidity,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,with,NA
doi:10.18739/A20000151,Pete D. Akers,with,respect,NA
doi:10.18739/A20000151,Pete D. Akers,respect,to,NA
doi:10.18739/A20000151,Pete D. Akers,to,water,NA
doi:10.18739/A20000151,Pete D. Akers,water,measured,NA
doi:10.18739/A20000151,Pete D. Akers,measured,at,NA
doi:10.18739/A20000151,Pete D. Akers,at,smt,NA
doi:10.18739/A20000151,Pete D. Akers,smt,weather,NA
doi:10.18739/A20000151,Pete D. Akers,weather,station,NA
doi:10.18739/A20000151,Pete D. Akers,station,relative,NA
doi:10.18739/A20000151,Pete D. Akers,relative,humidity,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,with,NA
doi:10.18739/A20000151,Pete D. Akers,with,respect,NA
doi:10.18739/A20000151,Pete D. Akers,respect,to,NA
doi:10.18739/A20000151,Pete D. Akers,to,ice,NA
doi:10.18739/A20000151,Pete D. Akers,ice,in,NA
doi:10.18739/A20000151,Pete D. Akers,in,derived,NA
doi:10.18739/A20000151,Pete D. Akers,derived,from,NA
doi:10.18739/A20000151,Pete D. Akers,from,relative,NA
doi:10.18739/A20000151,Pete D. Akers,relative,humidity,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,with,NA
doi:10.18739/A20000151,Pete D. Akers,with,respect,NA
doi:10.18739/A20000151,Pete D. Akers,respect,to,NA
doi:10.18739/A20000151,Pete D. Akers,to,water,NA
doi:10.18739/A20000151,Pete D. Akers,water,measured,NA
doi:10.18739/A20000151,Pete D. Akers,measured,at,NA
doi:10.18739/A20000151,Pete D. Akers,at,smt,NA
doi:10.18739/A20000151,Pete D. Akers,smt,weather,NA
doi:10.18739/A20000151,Pete D. Akers,weather,station,NA
doi:10.18739/A20000151,Pete D. Akers,station,residual,NA
doi:10.18739/A20000151,Pete D. Akers,residual,of,NA
doi:10.18739/A20000151,Pete D. Akers,of,the,NA
doi:10.18739/A20000151,Pete D. Akers,the,d18o,NA
doi:10.18739/A20000151,Pete D. Akers,d18o,vs,NA
doi:10.18739/A20000151,Pete D. Akers,vs,air,NA
doi:10.18739/A20000151,Pete D. Akers,air,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,regression,NA
doi:10.18739/A20000151,Pete D. Akers,regression,in,NA
doi:10.18739/A20000151,Pete D. Akers,in,c,NA
doi:10.18739/A20000151,Pete D. Akers,c,ending,NA
doi:10.18739/A20000151,Pete D. Akers,ending,datetime,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,for,NA
doi:10.18739/A20000151,Pete D. Akers,for,hourly,NA
doi:10.18739/A20000151,Pete D. Akers,hourly,block,NA
doi:10.18739/A20000151,Pete D. Akers,block,of,NA
doi:10.18739/A20000151,Pete D. Akers,of,time,NA
doi:10.18739/A20000151,Pete D. Akers,time,that,NA
doi:10.18739/A20000151,Pete D. Akers,that,observation,NA
doi:10.18739/A20000151,Pete D. Akers,observation,falls,NA
doi:10.18739/A20000151,Pete D. Akers,falls,within,NA
doi:10.18739/A20000151,Pete D. Akers,within,for,NA
doi:10.18739/A20000151,Pete D. Akers,for,later,NA
doi:10.18739/A20000151,Pete D. Akers,later,aggregation,NA
doi:10.18739/A20000151,Pete D. Akers,aggregation,date,NA
doi:10.18739/A20000151,Pete D. Akers,date,that,NA
doi:10.18739/A20000151,Pete D. Akers,that,observation,NA
doi:10.18739/A20000151,Pete D. Akers,observation,falls,NA
doi:10.18739/A20000151,Pete D. Akers,falls,within,NA
doi:10.18739/A20000151,Pete D. Akers,within,for,NA
doi:10.18739/A20000151,Pete D. Akers,for,later,NA
doi:10.18739/A20000151,Pete D. Akers,later,aggregation,NA
doi:10.18739/A20000151,Pete D. Akers,aggregation,month,NA
doi:10.18739/A20000151,Pete D. Akers,month,of,NA
doi:10.18739/A20000151,Pete D. Akers,of,observation,NA
doi:10.18739/A20000151,Pete D. Akers,observation,season,NA
