identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,rosette,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,movement,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,at,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,time,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,of,NA,NA
doi:10.18739/A20000081,Lee W. Cooper,sampling,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,of,NA,NA
doi:10.18739/A20000151,Pete D. Akers,sample,NA,NA
doi:10.18739/A20000151,Pete D. Akers,taken,NA,NA
doi:10.18739/A20000151,Pete D. Akers,in,NA,NA
doi:10.18739/A20000151,Pete D. Akers,epoch,NA,NA
doi:10.18739/A20000151,Pete D. Akers,time,NA,NA
doi:10.18739/A20000151,Pete D. Akers,approximate,NA,NA
doi:10.18739/A20000151,Pete D. Akers,flow,NA,NA
doi:10.18739/A20000151,Pete D. Akers,rate,NA,NA
doi:10.18739/A20000151,Pete D. Akers,setting,NA,NA
doi:10.18739/A20000151,Pete D. Akers,on,NA,NA
doi:10.18739/A20000151,Pete D. Akers,l2130,NA,NA
doi:10.18739/A20000151,Pete D. Akers,i,NA,NA
doi:10.18739/A20000151,Pete D. Akers,used,NA,NA
doi:10.18739/A20000151,Pete D. Akers,as,NA,NA
doi:10.18739/A20000151,Pete D. Akers,a,NA,NA
doi:10.18739/A20000151,Pete D. Akers,calibration,NA,NA
doi:10.18739/A20000151,Pete D. Akers,run,NA,NA
doi:10.18739/A20000151,Pete D. Akers,identifier,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,when,NA,NA
doi:10.18739/A20000151,Pete D. Akers,sample,NA,NA
doi:10.18739/A20000151,Pete D. Akers,taken,NA,NA
doi:10.18739/A20000151,Pete D. Akers,in,NA,NA
doi:10.18739/A20000151,Pete D. Akers,epoch,NA,NA
doi:10.18739/A20000151,Pete D. Akers,time,NA,NA
doi:10.18739/A20000151,Pete D. Akers,approximate,NA,NA
doi:10.18739/A20000151,Pete D. Akers,flow,NA,NA
doi:10.18739/A20000151,Pete D. Akers,setting,NA,NA
doi:10.18739/A20000151,Pete D. Akers,on,NA,NA
doi:10.18739/A20000151,Pete D. Akers,l2130,NA,NA
doi:10.18739/A20000151,Pete D. Akers,i,NA,NA
doi:10.18739/A20000151,Pete D. Akers,for,NA,NA
doi:10.18739/A20000151,Pete D. Akers,standards,NA,NA
doi:10.18739/A20000151,Pete D. Akers,delivery,NA,NA
doi:10.18739/A20000151,Pete D. Akers,module,NA,NA
doi:10.18739/A20000151,Pete D. Akers,used,NA,NA
doi:10.18739/A20000151,Pete D. Akers,as,NA,NA
doi:10.18739/A20000151,Pete D. Akers,a,NA,NA
doi:10.18739/A20000151,Pete D. Akers,specific,NA,NA
doi:10.18739/A20000151,Pete D. Akers,calibration,NA,NA
doi:10.18739/A20000151,Pete D. Akers,run,NA,NA
doi:10.18739/A20000151,Pete D. Akers,identifier,NA,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,NA,NA
doi:10.18739/A20000151,Pete D. Akers,end,NA,NA
doi:10.18739/A20000151,Pete D. Akers,of,NA,NA
doi:10.18739/A20000151,Pete D. Akers,10,NA,NA
doi:10.18739/A20000151,Pete D. Akers,min,NA,NA
doi:10.18739/A20000151,Pete D. Akers,aggregation,NA,NA
doi:10.18739/A20000151,Pete D. Akers,period,NA,NA
doi:10.18739/A20000151,Pete D. Akers,air,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,in,NA,NA
doi:10.18739/A20000151,Pete D. Akers,degrees,NA,NA
doi:10.18739/A20000151,Pete D. Akers,celsius,NA,NA
doi:10.18739/A20000151,Pete D. Akers,measured,NA,NA
doi:10.18739/A20000151,Pete D. Akers,at,NA,NA
doi:10.18739/A20000151,Pete D. Akers,smt,NA,NA
doi:10.18739/A20000151,Pete D. Akers,weather,NA,NA
doi:10.18739/A20000151,Pete D. Akers,station,NA,NA
doi:10.18739/A20000151,Pete D. Akers,dew,NA,NA
doi:10.18739/A20000151,Pete D. Akers,point,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,in,NA,NA
doi:10.18739/A20000151,Pete D. Akers,degrees,NA,NA
doi:10.18739/A20000151,Pete D. Akers,celsius,NA,NA
doi:10.18739/A20000151,Pete D. Akers,calculated,NA,NA
doi:10.18739/A20000151,Pete D. Akers,from,NA,NA
doi:10.18739/A20000151,Pete D. Akers,air,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,and,NA,NA
doi:10.18739/A20000151,Pete D. Akers,relative,NA,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,NA,NA
doi:10.18739/A20000151,Pete D. Akers,with,NA,NA
doi:10.18739/A20000151,Pete D. Akers,respect,NA,NA
doi:10.18739/A20000151,Pete D. Akers,to,NA,NA
doi:10.18739/A20000151,Pete D. Akers,water,NA,NA
doi:10.18739/A20000151,Pete D. Akers,measured,NA,NA
doi:10.18739/A20000151,Pete D. Akers,at,NA,NA
doi:10.18739/A20000151,Pete D. Akers,smt,NA,NA
doi:10.18739/A20000151,Pete D. Akers,weather,NA,NA
doi:10.18739/A20000151,Pete D. Akers,station,NA,NA
doi:10.18739/A20000151,Pete D. Akers,relative,NA,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,NA,NA
doi:10.18739/A20000151,Pete D. Akers,with,NA,NA
doi:10.18739/A20000151,Pete D. Akers,respect,NA,NA
doi:10.18739/A20000151,Pete D. Akers,to,NA,NA
doi:10.18739/A20000151,Pete D. Akers,ice,NA,NA
doi:10.18739/A20000151,Pete D. Akers,in,NA,NA
doi:10.18739/A20000151,Pete D. Akers,derived,NA,NA
doi:10.18739/A20000151,Pete D. Akers,from,NA,NA
doi:10.18739/A20000151,Pete D. Akers,relative,NA,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,NA,NA
doi:10.18739/A20000151,Pete D. Akers,with,NA,NA
doi:10.18739/A20000151,Pete D. Akers,respect,NA,NA
doi:10.18739/A20000151,Pete D. Akers,to,NA,NA
doi:10.18739/A20000151,Pete D. Akers,water,NA,NA
doi:10.18739/A20000151,Pete D. Akers,measured,NA,NA
doi:10.18739/A20000151,Pete D. Akers,at,NA,NA
doi:10.18739/A20000151,Pete D. Akers,smt,NA,NA
doi:10.18739/A20000151,Pete D. Akers,weather,NA,NA
doi:10.18739/A20000151,Pete D. Akers,station,NA,NA
doi:10.18739/A20000151,Pete D. Akers,residual,NA,NA
doi:10.18739/A20000151,Pete D. Akers,of,NA,NA
doi:10.18739/A20000151,Pete D. Akers,the,NA,NA
doi:10.18739/A20000151,Pete D. Akers,d18o,NA,NA
doi:10.18739/A20000151,Pete D. Akers,vs,NA,NA
doi:10.18739/A20000151,Pete D. Akers,air,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,regression,NA,NA
doi:10.18739/A20000151,Pete D. Akers,in,NA,NA
doi:10.18739/A20000151,Pete D. Akers,c,NA,NA
doi:10.18739/A20000151,Pete D. Akers,ending,NA,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,NA,NA
doi:10.18739/A20000151,Pete D. Akers,for,NA,NA
doi:10.18739/A20000151,Pete D. Akers,hourly,NA,NA
doi:10.18739/A20000151,Pete D. Akers,block,NA,NA
doi:10.18739/A20000151,Pete D. Akers,of,NA,NA
doi:10.18739/A20000151,Pete D. Akers,time,NA,NA
doi:10.18739/A20000151,Pete D. Akers,that,NA,NA
doi:10.18739/A20000151,Pete D. Akers,observation,NA,NA
