identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,rosette,movement,at
doi:10.18739/A20000081,Lee W. Cooper,movement,at,time
doi:10.18739/A20000081,Lee W. Cooper,at,time,of
doi:10.18739/A20000081,Lee W. Cooper,time,of,sampling
doi:10.18739/A20000151,Pete D. Akers,timestamp,of,sample
doi:10.18739/A20000151,Pete D. Akers,of,sample,taken
doi:10.18739/A20000151,Pete D. Akers,sample,taken,in
doi:10.18739/A20000151,Pete D. Akers,taken,in,epoch
doi:10.18739/A20000151,Pete D. Akers,in,epoch,time
doi:10.18739/A20000151,Pete D. Akers,epoch,time,approximate
doi:10.18739/A20000151,Pete D. Akers,time,approximate,flow
doi:10.18739/A20000151,Pete D. Akers,approximate,flow,rate
doi:10.18739/A20000151,Pete D. Akers,flow,rate,setting
doi:10.18739/A20000151,Pete D. Akers,rate,setting,on
doi:10.18739/A20000151,Pete D. Akers,setting,on,l2130
doi:10.18739/A20000151,Pete D. Akers,on,l2130,i
doi:10.18739/A20000151,Pete D. Akers,l2130,i,used
doi:10.18739/A20000151,Pete D. Akers,i,used,as
doi:10.18739/A20000151,Pete D. Akers,used,as,a
doi:10.18739/A20000151,Pete D. Akers,as,a,calibration
doi:10.18739/A20000151,Pete D. Akers,a,calibration,run
doi:10.18739/A20000151,Pete D. Akers,calibration,run,identifier
doi:10.18739/A20000151,Pete D. Akers,run,identifier,timestamp
doi:10.18739/A20000151,Pete D. Akers,identifier,timestamp,when
doi:10.18739/A20000151,Pete D. Akers,timestamp,when,sample
doi:10.18739/A20000151,Pete D. Akers,when,sample,taken
doi:10.18739/A20000151,Pete D. Akers,sample,taken,in
doi:10.18739/A20000151,Pete D. Akers,taken,in,epoch
doi:10.18739/A20000151,Pete D. Akers,in,epoch,time
doi:10.18739/A20000151,Pete D. Akers,epoch,time,approximate
doi:10.18739/A20000151,Pete D. Akers,time,approximate,flow
doi:10.18739/A20000151,Pete D. Akers,approximate,flow,setting
doi:10.18739/A20000151,Pete D. Akers,flow,setting,on
doi:10.18739/A20000151,Pete D. Akers,setting,on,l2130
doi:10.18739/A20000151,Pete D. Akers,on,l2130,i
doi:10.18739/A20000151,Pete D. Akers,l2130,i,for
doi:10.18739/A20000151,Pete D. Akers,i,for,standards
doi:10.18739/A20000151,Pete D. Akers,for,standards,delivery
doi:10.18739/A20000151,Pete D. Akers,standards,delivery,module
doi:10.18739/A20000151,Pete D. Akers,delivery,module,used
doi:10.18739/A20000151,Pete D. Akers,module,used,as
doi:10.18739/A20000151,Pete D. Akers,used,as,a
doi:10.18739/A20000151,Pete D. Akers,as,a,specific
doi:10.18739/A20000151,Pete D. Akers,a,specific,calibration
doi:10.18739/A20000151,Pete D. Akers,specific,calibration,run
doi:10.18739/A20000151,Pete D. Akers,calibration,run,identifier
doi:10.18739/A20000151,Pete D. Akers,run,identifier,datetime
doi:10.18739/A20000151,Pete D. Akers,identifier,datetime,end
doi:10.18739/A20000151,Pete D. Akers,datetime,end,of
doi:10.18739/A20000151,Pete D. Akers,end,of,10
