identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,NA,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,flow,NA
doi:10.18739/A20000151,Pete D. Akers,flow,rate,NA
doi:10.18739/A20000151,Pete D. Akers,rate,timestamp,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,flow,NA
doi:10.18739/A20000151,Pete D. Akers,flow,setting,NA
doi:10.18739/A20000151,Pete D. Akers,setting,datetime,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,air,NA
doi:10.18739/A20000151,Pete D. Akers,air,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,dew,NA
doi:10.18739/A20000151,Pete D. Akers,dew,point,NA
doi:10.18739/A20000151,Pete D. Akers,point,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,relative,NA
doi:10.18739/A20000151,Pete D. Akers,relative,humidity,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,with,NA
doi:10.18739/A20000151,Pete D. Akers,with,respect,NA
doi:10.18739/A20000151,Pete D. Akers,respect,to,NA
doi:10.18739/A20000151,Pete D. Akers,to,ice,NA
doi:10.18739/A20000151,Pete D. Akers,ice,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,effect,NA
doi:10.18739/A20000151,Pete D. Akers,effect,residual,NA
doi:10.18739/A20000151,Pete D. Akers,residual,of,NA
doi:10.18739/A20000151,Pete D. Akers,of,d18o,NA
doi:10.18739/A20000151,Pete D. Akers,d18o,hourly,NA
doi:10.18739/A20000151,Pete D. Akers,hourly,timeblock,NA
doi:10.18739/A20000151,Pete D. Akers,timeblock,date,NA
doi:10.18739/A20000151,Pete D. Akers,date,of,NA
doi:10.18739/A20000151,Pete D. Akers,of,observation,NA
doi:10.18739/A20000151,Pete D. Akers,observation,month,NA
doi:10.18739/A20000151,Pete D. Akers,month,season,NA
doi:10.18739/A20000151,Pete D. Akers,season,datetime,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,wind,NA
doi:10.18739/A20000151,Pete D. Akers,wind,azimuth,NA
doi:10.18739/A20000151,Pete D. Akers,azimuth,katabatic,NA
doi:10.18739/A20000151,Pete D. Akers,katabatic,deviation,NA
doi:10.18739/A20000151,Pete D. Akers,deviation,wind,NA
doi:10.18739/A20000151,Pete D. Akers,wind,speed,NA
doi:10.18739/A20000151,Pete D. Akers,speed,air,NA
doi:10.18739/A20000151,Pete D. Akers,air,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,dew,NA
doi:10.18739/A20000151,Pete D. Akers,dew,point,NA
doi:10.18739/A20000151,Pete D. Akers,point,temperature,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,relative,NA
