identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,na,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,flow,NA,NA
doi:10.18739/A20000151,Pete D. Akers,rate,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,flow,NA,NA
doi:10.18739/A20000151,Pete D. Akers,setting,NA,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,NA,NA
doi:10.18739/A20000151,Pete D. Akers,air,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,dew,NA,NA
doi:10.18739/A20000151,Pete D. Akers,point,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,relative,NA,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,NA,NA
doi:10.18739/A20000151,Pete D. Akers,with,NA,NA
doi:10.18739/A20000151,Pete D. Akers,respect,NA,NA
doi:10.18739/A20000151,Pete D. Akers,to,NA,NA
doi:10.18739/A20000151,Pete D. Akers,ice,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,effect,NA,NA
doi:10.18739/A20000151,Pete D. Akers,residual,NA,NA
doi:10.18739/A20000151,Pete D. Akers,of,NA,NA
doi:10.18739/A20000151,Pete D. Akers,d18o,NA,NA
doi:10.18739/A20000151,Pete D. Akers,hourly,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timeblock,NA,NA
doi:10.18739/A20000151,Pete D. Akers,date,NA,NA
doi:10.18739/A20000151,Pete D. Akers,of,NA,NA
doi:10.18739/A20000151,Pete D. Akers,observation,NA,NA
doi:10.18739/A20000151,Pete D. Akers,month,NA,NA
doi:10.18739/A20000151,Pete D. Akers,season,NA,NA
doi:10.18739/A20000151,Pete D. Akers,datetime,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind,NA,NA
doi:10.18739/A20000151,Pete D. Akers,azimuth,NA,NA
doi:10.18739/A20000151,Pete D. Akers,katabatic,NA,NA
doi:10.18739/A20000151,Pete D. Akers,deviation,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind,NA,NA
doi:10.18739/A20000151,Pete D. Akers,speed,NA,NA
doi:10.18739/A20000151,Pete D. Akers,air,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,dew,NA,NA
doi:10.18739/A20000151,Pete D. Akers,point,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,relative,NA,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,NA,NA
doi:10.18739/A20000151,Pete D. Akers,with,NA,NA
doi:10.18739/A20000151,Pete D. Akers,respect,NA,NA
doi:10.18739/A20000151,Pete D. Akers,to,NA,NA
doi:10.18739/A20000151,Pete D. Akers,ice,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,effect,NA,NA
doi:10.18739/A20000151,Pete D. Akers,residual,NA,NA
doi:10.18739/A20000151,Pete D. Akers,of,NA,NA
doi:10.18739/A20000151,Pete D. Akers,d18o,NA,NA
doi:10.18739/A20000151,Pete D. Akers,month,NA,NA
doi:10.18739/A20000151,Pete D. Akers,season,NA,NA
doi:10.18739/A20000151,Pete D. Akers,date,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind,NA,NA
doi:10.18739/A20000151,Pete D. Akers,azimuth,NA,NA
doi:10.18739/A20000151,Pete D. Akers,katabatic,NA,NA
doi:10.18739/A20000151,Pete D. Akers,deviation,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind,NA,NA
doi:10.18739/A20000151,Pete D. Akers,speed,NA,NA
doi:10.18739/A20000151,Pete D. Akers,air,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,dew,NA,NA
doi:10.18739/A20000151,Pete D. Akers,point,NA,NA
doi:10.18739/A20000151,Pete D. Akers,temperature,NA,NA
doi:10.18739/A20000151,Pete D. Akers,relative,NA,NA
doi:10.18739/A20000151,Pete D. Akers,humidity,NA,NA
doi:10.18739/A20000151,Pete D. Akers,with,NA,NA
doi:10.18739/A20000151,Pete D. Akers,respect,NA,NA
