identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,NA,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,flow,NA
doi:10.18739/A20000151,Pete D. Akers,flow,timestamp,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,flow,NA
doi:10.18739/A20000151,Pete D. Akers,flow,min10break,NA
doi:10.18739/A20000151,Pete D. Akers,min10break,tavg,NA
doi:10.18739/A20000151,Pete D. Akers,tavg,tdew,NA
doi:10.18739/A20000151,Pete D. Akers,tdew,rh.ice,NA
doi:10.18739/A20000151,Pete D. Akers,rh.ice,t.rsd,NA
doi:10.18739/A20000151,Pete D. Akers,t.rsd,hrbreak,NA
doi:10.18739/A20000151,Pete D. Akers,hrbreak,daybreak,NA
doi:10.18739/A20000151,Pete D. Akers,daybreak,mo,NA
doi:10.18739/A20000151,Pete D. Akers,mo,sn,NA
doi:10.18739/A20000151,Pete D. Akers,sn,hrbreak,NA
doi:10.18739/A20000151,Pete D. Akers,hrbreak,wind.az,NA
doi:10.18739/A20000151,Pete D. Akers,wind.az,eness,NA
doi:10.18739/A20000151,Pete D. Akers,eness,wind.sp,NA
doi:10.18739/A20000151,Pete D. Akers,wind.sp,tavg,NA
doi:10.18739/A20000151,Pete D. Akers,tavg,tdew,NA
doi:10.18739/A20000151,Pete D. Akers,tdew,rh.ice,NA
doi:10.18739/A20000151,Pete D. Akers,rh.ice,t.rsd,NA
doi:10.18739/A20000151,Pete D. Akers,t.rsd,mo,NA
doi:10.18739/A20000151,Pete D. Akers,mo,sn,NA
doi:10.18739/A20000151,Pete D. Akers,sn,daybreak,NA
doi:10.18739/A20000151,Pete D. Akers,daybreak,wind.az,NA
doi:10.18739/A20000151,Pete D. Akers,wind.az,eness,NA
doi:10.18739/A20000151,Pete D. Akers,eness,wind.sp,NA
doi:10.18739/A20000151,Pete D. Akers,wind.sp,tavg,NA
doi:10.18739/A20000151,Pete D. Akers,tavg,tdew,NA
doi:10.18739/A20000151,Pete D. Akers,tdew,rh.ice,NA
doi:10.18739/A20000151,Pete D. Akers,rh.ice,t.rsd,NA
doi:10.18739/A20000151,Pete D. Akers,t.rsd,nao,NA
doi:10.18739/A20000151,Pete D. Akers,nao,ao,NA
doi:10.18739/A20000151,Pete D. Akers,ao,aao,NA
doi:10.18739/A20000151,Pete D. Akers,aao,pna,NA
doi:10.18739/A20000151,Pete D. Akers,pna,seaice,NA
doi:10.18739/A20000151,Pete D. Akers,seaice,mo,NA
doi:10.18739/A20000151,Pete D. Akers,mo,sn,NA
doi:10.18739/A2086356K,Christopher Arp,depth_n,density_n,NA
doi:10.18739/A2086356K,Christopher Arp,density_n,surfacetype,NA
