identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,trip,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,flow,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,flow,NA,NA
doi:10.18739/A20000151,Pete D. Akers,min10break,NA,NA
doi:10.18739/A20000151,Pete D. Akers,tavg,NA,NA
doi:10.18739/A20000151,Pete D. Akers,tdew,NA,NA
doi:10.18739/A20000151,Pete D. Akers,rh.ice,NA,NA
doi:10.18739/A20000151,Pete D. Akers,t.rsd,NA,NA
doi:10.18739/A20000151,Pete D. Akers,hrbreak,NA,NA
doi:10.18739/A20000151,Pete D. Akers,daybreak,NA,NA
doi:10.18739/A20000151,Pete D. Akers,mo,NA,NA
doi:10.18739/A20000151,Pete D. Akers,sn,NA,NA
doi:10.18739/A20000151,Pete D. Akers,hrbreak,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind.az,NA,NA
doi:10.18739/A20000151,Pete D. Akers,eness,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind.sp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,tavg,NA,NA
doi:10.18739/A20000151,Pete D. Akers,tdew,NA,NA
doi:10.18739/A20000151,Pete D. Akers,rh.ice,NA,NA
doi:10.18739/A20000151,Pete D. Akers,t.rsd,NA,NA
doi:10.18739/A20000151,Pete D. Akers,mo,NA,NA
doi:10.18739/A20000151,Pete D. Akers,sn,NA,NA
doi:10.18739/A20000151,Pete D. Akers,daybreak,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind.az,NA,NA
doi:10.18739/A20000151,Pete D. Akers,eness,NA,NA
doi:10.18739/A20000151,Pete D. Akers,wind.sp,NA,NA
doi:10.18739/A20000151,Pete D. Akers,tavg,NA,NA
doi:10.18739/A20000151,Pete D. Akers,tdew,NA,NA
doi:10.18739/A20000151,Pete D. Akers,rh.ice,NA,NA
doi:10.18739/A20000151,Pete D. Akers,t.rsd,NA,NA
doi:10.18739/A20000151,Pete D. Akers,nao,NA,NA
doi:10.18739/A20000151,Pete D. Akers,ao,NA,NA
doi:10.18739/A20000151,Pete D. Akers,aao,NA,NA
doi:10.18739/A20000151,Pete D. Akers,pna,NA,NA
doi:10.18739/A20000151,Pete D. Akers,seaice,NA,NA
doi:10.18739/A20000151,Pete D. Akers,mo,NA,NA
doi:10.18739/A20000151,Pete D. Akers,sn,NA,NA
doi:10.18739/A2086356K,Christopher Arp,depth_n,NA,NA
doi:10.18739/A2086356K,Christopher Arp,density_n,NA,NA
doi:10.18739/A2086356K,Christopher Arp,surfacetype,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,mean,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,soil,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,temperature,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,c,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,std,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,err,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,soil,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,temperature,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,c,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,mean,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,soil,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,temperature,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,c,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,std,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,err,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,soil,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,temperature,NA,NA
doi:10.18739/A20V89H5P,Julie McKnight,c,NA,NA
doi:10.18739/A20V89J2P,Beth Orcutt,avgd13ch4_permil,NA,NA
doi:10.18739/A20V89J2P,Beth Orcutt,stdevd13ch4,NA,NA
doi:10.18739/A20V89J2P,Beth Orcutt,permil,NA,NA
doi:10.18739/A20V89J2P,Beth Orcutt,light_lux,NA,NA
doi:10.18739/A21834279,Michael Lomas,growth_rate,NA,NA
doi:10.18739/A21834279,Michael Lomas,abundance_method,NA,NA
doi:10.18739/A21834279,Michael Lomas,standard_deviation_biovolume,NA,NA
doi:10.18739/A21834279,Michael Lomas,notes,NA,NA
doi:10.18739/A21G0HV2P,Anna Liljedahl,site,NA,NA
doi:10.18739/A21J9776B,Philip Camill,core,NA,NA
doi:10.18739/A21J9776B,Philip Camill,core,NA,NA
doi:10.18739/A2251FK3B,Rebecca Finger Higgens,date,NA,NA
doi:10.18739/A2251FK3B,Rebecca Finger Higgens,prcp.yr,NA,NA
doi:10.18739/A2251FK3B,Rebecca Finger Higgens,eto,NA,NA
doi:10.18739/A2251FK3B,Rebecca Finger Higgens,hargreaves,NA,NA
doi:10.18739/A23B5W79P,Jeff M. Welker,photo,NA,NA
doi:10.18739/A23B5W79P,Jeff M. Welker,p_se,NA,NA
doi:10.18739/A23B5W875,Lee W. Cooper,trip,NA,NA
doi:10.18739/A23B5W875,Lee W. Cooper,ctdscan_raw,NA,NA
doi:10.18739/A23B5W875,Lee W. Cooper,ctdpres_dbar,NA,NA
doi:10.18739/A23B5W875,Lee W. Cooper,ctdtemp_2,NA,NA
doi:10.18739/A23B5W875,Lee W. Cooper,ctdstddev_do_1_volts,NA,NA
doi:10.18739/A23B5W875,Lee W. Cooper,ctdstddev_trans,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,dead,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,current_double_banded,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,color_combo_different,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,band_change,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,how_cap,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,dfa_score,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,ecotox_blood,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,immune_blood,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,radio_transmitter,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,comments,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,dead,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,buccal,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,color,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,gut,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,radio_transmitter,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,comments,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,all_obs_reported,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,comments,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,comments,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,subsample_correction_factor,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,incidental,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,comments,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,a,NA,NA
doi:10.18739/A23R0PT35,Richard Lanctot,b,NA,NA
