identifier,author,word1,word2,word3
doi:10.18739/A20000081,Lee W. Cooper,NA,NA,NA
doi:10.18739/A20000151,Pete D. Akers,timestamp,flow,timestamp
doi:10.18739/A20000151,Pete D. Akers,flow,timestamp,flow
doi:10.18739/A20000151,Pete D. Akers,timestamp,flow,min10break
doi:10.18739/A20000151,Pete D. Akers,flow,min10break,tavg
doi:10.18739/A20000151,Pete D. Akers,min10break,tavg,tdew
doi:10.18739/A20000151,Pete D. Akers,tavg,tdew,rh.ice
doi:10.18739/A20000151,Pete D. Akers,tdew,rh.ice,t.rsd
doi:10.18739/A20000151,Pete D. Akers,rh.ice,t.rsd,hrbreak
doi:10.18739/A20000151,Pete D. Akers,t.rsd,hrbreak,daybreak
doi:10.18739/A20000151,Pete D. Akers,hrbreak,daybreak,mo
doi:10.18739/A20000151,Pete D. Akers,daybreak,mo,sn
doi:10.18739/A20000151,Pete D. Akers,mo,sn,hrbreak
doi:10.18739/A20000151,Pete D. Akers,sn,hrbreak,wind.az
doi:10.18739/A20000151,Pete D. Akers,hrbreak,wind.az,eness
doi:10.18739/A20000151,Pete D. Akers,wind.az,eness,wind.sp
doi:10.18739/A20000151,Pete D. Akers,eness,wind.sp,tavg
doi:10.18739/A20000151,Pete D. Akers,wind.sp,tavg,tdew
doi:10.18739/A20000151,Pete D. Akers,tavg,tdew,rh.ice
doi:10.18739/A20000151,Pete D. Akers,tdew,rh.ice,t.rsd
doi:10.18739/A20000151,Pete D. Akers,rh.ice,t.rsd,mo
doi:10.18739/A20000151,Pete D. Akers,t.rsd,mo,sn
doi:10.18739/A20000151,Pete D. Akers,mo,sn,daybreak
doi:10.18739/A20000151,Pete D. Akers,sn,daybreak,wind.az
doi:10.18739/A20000151,Pete D. Akers,daybreak,wind.az,eness
doi:10.18739/A20000151,Pete D. Akers,wind.az,eness,wind.sp
doi:10.18739/A20000151,Pete D. Akers,eness,wind.sp,tavg
doi:10.18739/A20000151,Pete D. Akers,wind.sp,tavg,tdew
doi:10.18739/A20000151,Pete D. Akers,tavg,tdew,rh.ice
doi:10.18739/A20000151,Pete D. Akers,tdew,rh.ice,t.rsd
doi:10.18739/A20000151,Pete D. Akers,rh.ice,t.rsd,nao
doi:10.18739/A20000151,Pete D. Akers,t.rsd,nao,ao
doi:10.18739/A20000151,Pete D. Akers,nao,ao,aao
doi:10.18739/A20000151,Pete D. Akers,ao,aao,pna
doi:10.18739/A20000151,Pete D. Akers,aao,pna,seaice
doi:10.18739/A20000151,Pete D. Akers,pna,seaice,mo
doi:10.18739/A20000151,Pete D. Akers,seaice,mo,sn
doi:10.18739/A2086356K,Christopher Arp,depth_n,density_n,surfacetype
doi:10.18739/A20V89H5P,Julie McKnight,mean,soil,temperature
doi:10.18739/A20V89H5P,Julie McKnight,soil,temperature,c
doi:10.18739/A20V89H5P,Julie McKnight,temperature,c,std
doi:10.18739/A20V89H5P,Julie McKnight,c,std,err
doi:10.18739/A20V89H5P,Julie McKnight,std,err,soil
doi:10.18739/A20V89H5P,Julie McKnight,err,soil,temperature
doi:10.18739/A20V89H5P,Julie McKnight,soil,temperature,c
doi:10.18739/A20V89H5P,Julie McKnight,temperature,c,mean
doi:10.18739/A20V89H5P,Julie McKnight,c,mean,soil
doi:10.18739/A20V89H5P,Julie McKnight,mean,soil,temperature
doi:10.18739/A20V89H5P,Julie McKnight,soil,temperature,c
doi:10.18739/A20V89H5P,Julie McKnight,temperature,c,std
doi:10.18739/A20V89H5P,Julie McKnight,c,std,err
doi:10.18739/A20V89H5P,Julie McKnight,std,err,soil
doi:10.18739/A20V89H5P,Julie McKnight,err,soil,temperature
doi:10.18739/A20V89H5P,Julie McKnight,soil,temperature,c
doi:10.18739/A20V89J2P,Beth Orcutt,avgd13ch4_permil,stdevd13ch4,permil
