identifier,word1,word2,word3
doi:10.18739/A20000081,rosette,NA,NA
doi:10.18739/A20000081,movement,NA,NA
doi:10.18739/A20000081,at,NA,NA
doi:10.18739/A20000081,time,NA,NA
doi:10.18739/A20000081,of,NA,NA
doi:10.18739/A20000081,sampling,NA,NA
doi:10.18739/A20000151,timestamp,NA,NA
doi:10.18739/A20000151,of,NA,NA
doi:10.18739/A20000151,sample,NA,NA
doi:10.18739/A20000151,taken,NA,NA
doi:10.18739/A20000151,in,NA,NA
doi:10.18739/A20000151,epoch,NA,NA
doi:10.18739/A20000151,time,NA,NA
doi:10.18739/A20000151,approximate,NA,NA
doi:10.18739/A20000151,flow,NA,NA
doi:10.18739/A20000151,rate,NA,NA
doi:10.18739/A20000151,setting,NA,NA
doi:10.18739/A20000151,on,NA,NA
doi:10.18739/A20000151,l2130,NA,NA
doi:10.18739/A20000151,i,NA,NA
doi:10.18739/A20000151,used,NA,NA
doi:10.18739/A20000151,as,NA,NA
doi:10.18739/A20000151,a,NA,NA
doi:10.18739/A20000151,calibration,NA,NA
doi:10.18739/A20000151,run,NA,NA
doi:10.18739/A20000151,identifier,NA,NA
doi:10.18739/A20000151,timestamp,NA,NA
doi:10.18739/A20000151,when,NA,NA
doi:10.18739/A20000151,sample,NA,NA
doi:10.18739/A20000151,taken,NA,NA
doi:10.18739/A20000151,in,NA,NA
doi:10.18739/A20000151,epoch,NA,NA
doi:10.18739/A20000151,time,NA,NA
doi:10.18739/A20000151,approximate,NA,NA
doi:10.18739/A20000151,flow,NA,NA
doi:10.18739/A20000151,setting,NA,NA
doi:10.18739/A20000151,on,NA,NA
doi:10.18739/A20000151,l2130,NA,NA
doi:10.18739/A20000151,i,NA,NA
doi:10.18739/A20000151,for,NA,NA
doi:10.18739/A20000151,standards,NA,NA
doi:10.18739/A20000151,delivery,NA,NA
doi:10.18739/A20000151,module,NA,NA
doi:10.18739/A20000151,used,NA,NA
doi:10.18739/A20000151,as,NA,NA
doi:10.18739/A20000151,a,NA,NA
doi:10.18739/A20000151,specific,NA,NA
doi:10.18739/A20000151,calibration,NA,NA
doi:10.18739/A20000151,run,NA,NA
doi:10.18739/A20000151,identifier,NA,NA
doi:10.18739/A20000151,datetime,NA,NA
doi:10.18739/A20000151,end,NA,NA
doi:10.18739/A20000151,of,NA,NA
doi:10.18739/A20000151,10,NA,NA
doi:10.18739/A20000151,min,NA,NA
doi:10.18739/A20000151,aggregation,NA,NA
doi:10.18739/A20000151,period,NA,NA
doi:10.18739/A20000151,air,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,in,NA,NA
doi:10.18739/A20000151,degrees,NA,NA
doi:10.18739/A20000151,celsius,NA,NA
doi:10.18739/A20000151,measured,NA,NA
doi:10.18739/A20000151,at,NA,NA
doi:10.18739/A20000151,smt,NA,NA
doi:10.18739/A20000151,weather,NA,NA
doi:10.18739/A20000151,station,NA,NA
doi:10.18739/A20000151,dew,NA,NA
doi:10.18739/A20000151,point,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,in,NA,NA
doi:10.18739/A20000151,degrees,NA,NA
doi:10.18739/A20000151,celsius,NA,NA
doi:10.18739/A20000151,calculated,NA,NA
doi:10.18739/A20000151,from,NA,NA
doi:10.18739/A20000151,air,NA,NA
doi:10.18739/A20000151,temperature,NA,NA
doi:10.18739/A20000151,and,NA,NA
doi:10.18739/A20000151,relative,NA,NA
doi:10.18739/A20000151,humidity,NA,NA
doi:10.18739/A20000151,with,NA,NA
doi:10.18739/A20000151,respect,NA,NA
doi:10.18739/A20000151,to,NA,NA
doi:10.18739/A20000151,water,NA,NA
doi:10.18739/A20000151,measured,NA,NA
doi:10.18739/A20000151,at,NA,NA
doi:10.18739/A20000151,smt,NA,NA
doi:10.18739/A20000151,weather,NA,NA
doi:10.18739/A20000151,station,NA,NA
doi:10.18739/A20000151,relative,NA,NA
doi:10.18739/A20000151,humidity,NA,NA
doi:10.18739/A20000151,with,NA,NA
doi:10.18739/A20000151,respect,NA,NA
doi:10.18739/A20000151,to,NA,NA
doi:10.18739/A20000151,ice,NA,NA
doi:10.18739/A20000151,in,NA,NA
doi:10.18739/A20000151,derived,NA,NA
doi:10.18739/A20000151,from,NA,NA
doi:10.18739/A20000151,relative,NA,NA
doi:10.18739/A20000151,humidity,NA,NA
doi:10.18739/A20000151,with,NA,NA
doi:10.18739/A20000151,respect,NA,NA
doi:10.18739/A20000151,to,NA,NA
doi:10.18739/A20000151,water,NA,NA
doi:10.18739/A20000151,measured,NA,NA
doi:10.18739/A20000151,at,NA,NA
doi:10.18739/A20000151,smt,NA,NA
doi:10.18739/A20000151,weather,NA,NA
doi:10.18739/A20000151,station,NA,NA
doi:10.18739/A20000151,residual,NA,NA
doi:10.18739/A20000151,of,NA,NA
