identifier,word1,word2,word3
doi:10.18739/A20000081,trip,NA,NA
doi:10.18739/A20000151,timestamp,NA,NA
doi:10.18739/A20000151,flow,NA,NA
doi:10.18739/A20000151,timestamp,NA,NA
doi:10.18739/A20000151,flow,NA,NA
doi:10.18739/A20000151,min10break,NA,NA
doi:10.18739/A20000151,tavg,NA,NA
doi:10.18739/A20000151,tdew,NA,NA
doi:10.18739/A20000151,rh.ice,NA,NA
doi:10.18739/A20000151,t.rsd,NA,NA
doi:10.18739/A20000151,hrbreak,NA,NA
doi:10.18739/A20000151,daybreak,NA,NA
doi:10.18739/A20000151,mo,NA,NA
doi:10.18739/A20000151,sn,NA,NA
doi:10.18739/A20000151,hrbreak,NA,NA
doi:10.18739/A20000151,wind.az,NA,NA
doi:10.18739/A20000151,eness,NA,NA
doi:10.18739/A20000151,wind.sp,NA,NA
doi:10.18739/A20000151,tavg,NA,NA
doi:10.18739/A20000151,tdew,NA,NA
doi:10.18739/A20000151,rh.ice,NA,NA
doi:10.18739/A20000151,t.rsd,NA,NA
doi:10.18739/A20000151,mo,NA,NA
doi:10.18739/A20000151,sn,NA,NA
doi:10.18739/A20000151,daybreak,NA,NA
doi:10.18739/A20000151,wind.az,NA,NA
doi:10.18739/A20000151,eness,NA,NA
doi:10.18739/A20000151,wind.sp,NA,NA
doi:10.18739/A20000151,tavg,NA,NA
doi:10.18739/A20000151,tdew,NA,NA
doi:10.18739/A20000151,rh.ice,NA,NA
doi:10.18739/A20000151,t.rsd,NA,NA
doi:10.18739/A20000151,nao,NA,NA
doi:10.18739/A20000151,ao,NA,NA
doi:10.18739/A20000151,aao,NA,NA
doi:10.18739/A20000151,pna,NA,NA
doi:10.18739/A20000151,seaice,NA,NA
doi:10.18739/A20000151,mo,NA,NA
doi:10.18739/A20000151,sn,NA,NA
doi:10.18739/A2086356K,depth_n,NA,NA
doi:10.18739/A2086356K,density_n,NA,NA
doi:10.18739/A2086356K,surfacetype,NA,NA
doi:10.18739/A20V89H5P,mean,NA,NA
doi:10.18739/A20V89H5P,soil,NA,NA
doi:10.18739/A20V89H5P,temperature,NA,NA
doi:10.18739/A20V89H5P,c,NA,NA
doi:10.18739/A20V89H5P,std,NA,NA
doi:10.18739/A20V89H5P,err,NA,NA
doi:10.18739/A20V89H5P,soil,NA,NA
doi:10.18739/A20V89H5P,temperature,NA,NA
doi:10.18739/A20V89H5P,c,NA,NA
doi:10.18739/A20V89H5P,mean,NA,NA
doi:10.18739/A20V89H5P,soil,NA,NA
doi:10.18739/A20V89H5P,temperature,NA,NA
doi:10.18739/A20V89H5P,c,NA,NA
doi:10.18739/A20V89H5P,std,NA,NA
doi:10.18739/A20V89H5P,err,NA,NA
doi:10.18739/A20V89H5P,soil,NA,NA
doi:10.18739/A20V89H5P,temperature,NA,NA
doi:10.18739/A20V89H5P,c,NA,NA
doi:10.18739/A20V89J2P,avgd13ch4_permil,NA,NA
doi:10.18739/A20V89J2P,stdevd13ch4,NA,NA
doi:10.18739/A20V89J2P,permil,NA,NA
doi:10.18739/A20V89J2P,light_lux,NA,NA
doi:10.18739/A21834279,growth_rate,NA,NA
doi:10.18739/A21834279,abundance_method,NA,NA
doi:10.18739/A21834279,standard_deviation_biovolume,NA,NA
doi:10.18739/A21834279,notes,NA,NA
doi:10.18739/A21G0HV2P,site,NA,NA
doi:10.18739/A21J9776B,core,NA,NA
doi:10.18739/A21J9776B,core,NA,NA
doi:10.18739/A2251FK3B,date,NA,NA
doi:10.18739/A2251FK3B,prcp.yr,NA,NA
doi:10.18739/A2251FK3B,eto,NA,NA
doi:10.18739/A2251FK3B,hargreaves,NA,NA
doi:10.18739/A23B5W79P,photo,NA,NA
doi:10.18739/A23B5W79P,p_se,NA,NA
doi:10.18739/A23B5W875,trip,NA,NA
doi:10.18739/A23B5W875,ctdscan_raw,NA,NA
doi:10.18739/A23B5W875,ctdpres_dbar,NA,NA
doi:10.18739/A23B5W875,ctdtemp_2,NA,NA
doi:10.18739/A23B5W875,ctdstddev_do_1_volts,NA,NA
doi:10.18739/A23B5W875,ctdstddev_trans,NA,NA
doi:10.18739/A23R0PT35,dead,NA,NA
doi:10.18739/A23R0PT35,current_double_banded,NA,NA
doi:10.18739/A23R0PT35,color_combo_different,NA,NA
doi:10.18739/A23R0PT35,band_change,NA,NA
doi:10.18739/A23R0PT35,how_cap,NA,NA
doi:10.18739/A23R0PT35,dfa_score,NA,NA
doi:10.18739/A23R0PT35,ecotox_blood,NA,NA
doi:10.18739/A23R0PT35,immune_blood,NA,NA
doi:10.18739/A23R0PT35,radio_transmitter,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,dead,NA,NA
doi:10.18739/A23R0PT35,buccal,NA,NA
doi:10.18739/A23R0PT35,color,NA,NA
doi:10.18739/A23R0PT35,gut,NA,NA
doi:10.18739/A23R0PT35,radio_transmitter,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,all_obs_reported,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,subsample_correction_factor,NA,NA
doi:10.18739/A23R0PT35,incidental,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,a,NA,NA
doi:10.18739/A23R0PT35,b,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,nwstake,NA,NA
doi:10.18739/A23R0PT35,notes_gps_change,NA,NA
doi:10.18739/A23R0PT35,use_gps,NA,NA
doi:10.18739/A23R0PT35,how_fnd,NA,NA
doi:10.18739/A23R0PT35,fence,NA,NA
doi:10.18739/A23R0PT35,unk1_captured,NA,NA
doi:10.18739/A23R0PT35,unk2_captured,NA,NA
doi:10.18739/A23R0PT35,m_captured,NA,NA
doi:10.18739/A23R0PT35,f_captured,NA,NA
doi:10.18739/A23R0PT35,day_used_for_hatch_date_or_last_date_checked,NA,NA
doi:10.18739/A23R0PT35,fate,NA,NA
doi:10.18739/A23R0PT35,fate_evidence,NA,NA
doi:10.18739/A23R0PT35,uncertain_of_fate,NA,NA
doi:10.18739/A23R0PT35,replacement_clutch,NA,NA
doi:10.18739/A23R0PT35,manipulation,NA,NA
doi:10.18739/A23R0PT35,manipulation_comments,NA,NA
doi:10.18739/A23R0PT35,conceal,NA,NA
doi:10.18739/A23R0PT35,aspect,NA,NA
doi:10.18739/A23R0PT35,nest_book_comments,NA,NA
doi:10.18739/A23R0PT35,nest_contents,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PT35,stake,NA,NA
doi:10.18739/A23R0PT35,resightings,NA,NA
doi:10.18739/A23R0PT35,resight_btwn_year,NA,NA
doi:10.18739/A23R0PT35,near_orig_site,NA,NA
doi:10.18739/A23R0PT35,obs_comm,NA,NA
doi:10.18739/A23R0PT35,data_entry_comments,NA,NA
doi:10.18739/A23R0PT35,history,NA,NA
doi:10.18739/A23R0PT35,comments,NA,NA
doi:10.18739/A23R0PV05,uames,NA,NA
doi:10.18739/A23R0PV05,numbera,NA,NA
doi:10.18739/A23R0PV05,dated,NA,NA
doi:10.18739/A23R0PV05,bone,NA,NA
doi:10.18739/A23R0PV05,mean,NA,NA
doi:10.18739/A23R0PV05,amps,NA,NA
doi:10.18739/A23R0PV05,iso,NA,NA
doi:10.18739/A23R0PV05,adjustment,NA,NA
doi:10.18739/A23R0PV05,for,NA,NA
doi:10.18739/A23R0PV05,ocean,NA,NA
doi:10.18739/A23R0PV05,calibration,NA,NA
doi:10.18739/A23R0PV05,sample,NA,NA
doi:10.18739/A23R0PV05,notes,NA,NA
doi:10.18739/A23R0PV05,dated,NA,NA
doi:10.18739/A23R0PV05,material,NA,NA
doi:10.18739/A23R0PV05,lower,NA,NA
doi:10.18739/A23R0PV05,range,NA,NA
doi:10.18739/A23R0PV05,2s,NA,NA
doi:10.18739/A23R0PV05,calibrated,NA,NA
doi:10.18739/A23R0PV05,age,NA,NA
doi:10.18739/A23R0PV05,range,NA,NA
doi:10.18739/A23R0PV05,cal,NA,NA
doi:10.18739/A23R0PV05,yr,NA,NA
doi:10.18739/A23R0PV05,before,NA,NA
doi:10.18739/A23R0PV05,1950,NA,NA
doi:10.18739/A23R0PV05,upper,NA,NA
doi:10.18739/A23R0PV05,range,NA,NA
doi:10.18739/A23R0PV05,2s,NA,NA
doi:10.18739/A23R0PV05,calibrated,NA,NA
doi:10.18739/A23R0PV05,age,NA,NA
doi:10.18739/A23R0PV05,range,NA,NA
doi:10.18739/A23R0PV05,cal,NA,NA
doi:10.18739/A23R0PV05,yr,NA,NA
doi:10.18739/A23R0PV05,before,NA,NA
doi:10.18739/A23R0PV05,1950,NA,NA
doi:10.18739/A23R0PV05,where,NA,NA
doi:10.18739/A23R0PV05,published,NA,NA
doi:10.18739/A23R0PV05,material,NA,NA
doi:10.18739/A23R0PV05,dated,NA,NA
doi:10.18739/A23R0PV05,lower,NA,NA
doi:10.18739/A23R0PV05,cal,NA,NA
doi:10.18739/A23R0PV05,range,NA,NA
doi:10.18739/A23R0PV05,upper,NA,NA
doi:10.18739/A23R0PV05,cal,NA,NA
doi:10.18739/A23R0PV05,range,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity,NA,NA
doi:10.18739/A2416T00Z,sixhour_horizontal_velocity_uncertainty,NA,NA
doi:10.18739/A2416T00Z,jar2_melt,NA,NA
doi:10.18739/A2416T00Z,foxx_melt,NA,NA
doi:10.18739/A2416T00Z,gull_melt,NA,NA
doi:10.18739/A2416T00Z,hare_melt,NA,NA
doi:10.18739/A2416T00Z,jar2_melt,NA,NA
doi:10.18739/A2416T00Z,foxx_melt,NA,NA
